id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,actual_spread,tennessee_actual_spread,home_off_ppa,home_off_success_rate,home_off_explosiveness,home_off_power_success,home_off_stuff_rate,home_def_ppa,home_def_success_rate,home_def_explosiveness,home_def_power_success,home_def_stuff_rate,home_recruiting_rank,home_recruiting_points,home_talent_score,away_off_ppa,away_off_success_rate,away_off_explosiveness,away_off_power_success,away_off_stuff_rate,away_def_ppa,away_def_success_rate,away_def_explosiveness,away_def_power_success,away_def_stuff_rate,away_recruiting_rank,away_recruiting_points,away_talent_score,off_ppa_diff,off_success_rate_diff,off_explosiveness_diff,def_ppa_diff,def_success_rate_diff,recruiting_rank_diff,talent_score_diff,weekly_win_rate_diff,weekly_points_per_game_diff,weekly_points_allowed_per_game_diff,weekly_margin_per_game_diff,weekly_rolling_win_rate_diff,weekly_rolling_ppg_diff,weekly_rolling_papg_diff,weekly_rolling_margin_diff,weekly_trend_win_rate_diff,weekly_trend_ppg_diff,weekly_trend_papg_diff,weekly_trend_margin_diff,weekly_momentum_win_rate_diff,weekly_momentum_ppg_diff,weekly_momentum_papg_diff,weekly_momentum_margin_diff,home_weekly_games_played,home_weekly_wins,home_weekly_losses,home_weekly_win_rate,home_weekly_points_per_game,home_weekly_points_allowed_per_game,home_weekly_margin_per_game,home_weekly_rolling_win_rate,home_weekly_rolling_ppg,home_weekly_rolling_papg,home_weekly_rolling_margin,home_weekly_trend_win_rate,home_weekly_trend_ppg,home_weekly_trend_papg,home_weekly_trend_margin,home_weekly_momentum_win_rate,home_weekly_momentum_ppg,home_weekly_momentum_papg,home_weekly_momentum_margin,away_weekly_games_played,away_weekly_wins,away_weekly_losses,away_weekly_win_rate,away_weekly_points_per_game,away_weekly_points_allowed_per_game,away_weekly_margin_per_game,away_weekly_rolling_win_rate,away_weekly_rolling_ppg,away_weekly_rolling_papg,away_weekly_rolling_margin,away_weekly_trend_win_rate,away_weekly_trend_ppg,away_weekly_trend_papg,away_weekly_trend_margin,away_weekly_momentum_win_rate,away_weekly_momentum_ppg,away_weekly_momentum_papg,away_weekly_momentum_margin
401403864,2022,1,regular,2022-09-01T23:00:00.000Z,False,True,False,False,92236.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,59,"[17, 21, 14, 7]",0.9984193930948008,1640,1756,2050,Ball State,fbs,Mid-American,10,"[0, 0, 7, 3]",0.0015806069051993,1410.0,1294.0,1.1199358518,,,49,49,0.2378094144957728,0.4770833333333333,1.1224566084792846,0.8395061728395061,0.1077199281867145,0.0502849645956521,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.2274881516587677,14,267.26,858.67,0.1168070697815438,0.4104477611940298,1.2391439371890978,0.7674418604651163,0.1402985074626865,0.3492606297720458,0.4713375796178344,1.4537913967360996,0.7450980392156863,0.1618798955613577,112.0,140.08,464.07,0.1210023447142289,0.0666355721393034,-0.1166873287098131,-0.2989756651763937,-0.1106620669519719,-98,394.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401442019,2022,1,postseason,2022-12-31T01:00:00.000Z,False,True,True,False,63912.0,3948,Hard Rock Stadium,228,Clemson,fbs,ACC,14,"[0, 3, 3, 8]",0.0316062922115287,1866,1843,2633,Tennessee,fbs,SEC,31,"[7, 7, 7, 10]",0.9683937077884712,1977.0,2000.0,5.5857210475,,Capital One Orange Bowl,-17,17,0.2509739237613553,0.4629258517034068,1.2502632427410765,0.7384615384615385,0.1617977528089887,0.1334981085814716,0.4036208732694356,1.3423989635688816,0.6226415094339622,0.1842696629213483,11,272.19,924.63,0.2378094144957728,0.4770833333333333,1.1224566084792846,0.8395061728395061,0.1077199281867145,0.0502849645956521,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.2274881516587677,14.0,267.26,858.67,0.0131645092655825,-0.0141574816299265,0.1278066342617916,0.0832131439858195,0.042945360603573,-3,65.96000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401403877,2022,2,regular,2022-09-10T19:30:00.000Z,False,True,False,False,59785.0,3752,Acrisure Stadium,221,Pittsburgh,fbs,ACC,27,"[10, 7, 0, 10, 0]",0.1815298712739166,1667,1661,2633,Tennessee,fbs,SEC,34,"[7, 17, 0, 3, 7]",0.8184701287260834,1756.0,1762.0,8.1259075107,,,-7,7,0.1563534456331031,0.4200661521499448,1.3500831029531577,0.7678571428571429,0.1742627345844504,0.0992697749695182,0.3802966101694915,1.4077478409224855,0.4791666666666667,0.2586605080831409,41,204.1,713.74,0.2378094144957728,0.4770833333333333,1.1224566084792846,0.8395061728395061,0.1077199281867145,0.0502849645956521,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.2274881516587677,14.0,267.26,858.67,-0.0814559688626697,-0.0570171811833885,0.227626494473873,0.048984810373866,0.019621097503629,27,-144.92999999999995,0.0,7.0,17.0,-10.0,0.0,7.0,17.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,38.0,31.0,7.0,1.0,38.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,31.0,14.0,17.0,1.0,31.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401403889,2022,3,regular,2022-09-17T23:00:00.000Z,False,True,False,False,81532.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,63,"[14, 21, 14, 14]",0.998945585084284,1762,1835,2006,Akron,fbs,Mid-American,6,"[0, 0, 3, 3]",0.0010544149157158,1009.0,936.0,1.0740770864,,,57,57,0.2378094144957728,0.4770833333333333,1.1224566084792846,0.8395061728395061,0.1077199281867145,0.0502849645956521,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.2274881516587677,14,267.26,858.67,0.0637900389779065,0.3880208333333333,1.2777041866304133,0.7837837837837838,0.1912225705329153,0.2110495511336605,0.4473039215686274,1.2353903353969045,0.6571428571428571,0.1951219512195122,101.0,146.65,537.82,0.1740193755178662,0.0890625,-0.1552475781511286,-0.1607645865380083,-0.0866284089027649,-87,320.8499999999999,1.0,59.0,-42.0,101.0,1.0,45.0,-40.0,85.0,0.0,0.0,0.0,0.0,0.0,28.0,-4.0,32.0,1.0,1.0,0.0,1.0,59.0,10.0,49.0,1.0,45.0,12.0,33.0,0.0,0.0,0.0,0.0,0.0,28.0,-4.0,32.0,1.0,0.0,1.0,0.0,0.0,52.0,-52.0,0.0,0.0,52.0,-52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401403901,2022,4,regular,2022-09-24T19:30:00.000Z,False,True,False,True,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,38,"[3, 14, 14, 7]",0.440906432185696,1835,1830,57,Florida,fbs,SEC,33,"[0, 14, 7, 12]",0.5590935678143041,1564.0,1569.0,6.5181355997,,,5,5,0.2378094144957728,0.4770833333333333,1.1224566084792846,0.8395061728395061,0.1077199281867145,0.0502849645956521,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.2274881516587677,14,267.26,858.67,0.200082226102935,0.44125,1.2171658158836791,0.8113207547169812,0.1666666666666666,0.1314047203328262,0.4282632146709816,1.198085877917999,0.6716417910447762,0.1663157894736842,13.0,268.25,894.24,0.0377271883928377,0.0358333333333333,-0.0947092074043944,-0.0811197557371741,-0.0675877020051191,1,-35.57000000000005,1.0,58.0,-22.0,80.0,0.5,32.16666666666667,-16.666666666666664,48.83333333333332,0.0,0.0,0.0,0.0,0.75,38.75,-8.0,46.75,2.0,2.0,0.0,1.0,61.0,8.0,53.0,1.0,50.333333333333336,10.666666666666666,39.66666666666666,0.0,0.0,0.0,0.0,0.0,16.0,-4.0,20.0,1.0,0.0,1.0,0.0,3.0,30.0,-27.0,0.5,18.166666666666668,27.33333333333333,-9.166666666666666,0.0,0.0,0.0,0.0,-0.75,-22.75,4.0,-26.75
401403913,2022,6,regular,2022-10-08T16:00:00.000Z,False,True,False,True,102321.0,3958,Tiger Stadium (LA),99,LSU,fbs,SEC,13,"[0, 7, 0, 6]",0.0080536893456858,1644,1593,2633,Tennessee,fbs,SEC,40,"[13, 10, 14, 3]",0.9919463106543142,1830.0,1881.0,2.8471575872,,,-27,27,0.2363725286512884,0.4403973509933774,1.289803843669534,0.8095238095238095,0.1694444444444444,0.170520417762022,0.4136645962732919,1.3570654403365192,0.82,0.1854636591478696,7,278.75,906.19,0.2378094144957728,0.4770833333333333,1.1224566084792846,0.8395061728395061,0.1077199281867145,0.0502849645956521,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.2274881516587677,14.0,267.26,858.67,-0.0014368858444843,-0.0366859823399559,0.1673472351902494,0.1202354531663698,0.0529890836074294,-7,47.520000000000095,0.0,12.166666666666657,-9.5,21.666666666666664,-0.16666666666666663,-5.611111111111114,1.5,-7.111111111111111,0.0,0.0,0.0,0.0,0.1666666666666666,10.499999999999993,-15.166666666666666,25.666666666666664,3.0,3.0,0.0,1.0,44.66666666666666,11.0,33.666666666666664,0.8333333333333334,45.22222222222222,14.333333333333334,30.88888888888889,0.0,0.0,0.0,0.0,0.1666666666666666,-7.333333333333343,-5.333333333333332,-2.0,2.0,2.0,0.0,1.0,32.5,20.5,12.0,1.0,50.833333333333336,12.833333333333334,38.0,0.0,0.0,0.0,0.0,0.0,-17.833333333333336,9.833333333333334,-27.666666666666664
401403921,2022,7,regular,2022-10-15T19:30:00.000Z,False,True,False,True,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,52,"[21, 7, 6, 18]",0.5294238354365478,1881,1886,333,Alabama,fbs,SEC,49,"[7, 13, 15, 14]",0.4705761645634522,2179.0,2174.0,8.7901495549,,,3,3,0.2378094144957728,0.4770833333333333,1.1224566084792846,0.8395061728395061,0.1077199281867145,0.0502849645956521,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.2274881516587677,14,267.26,858.67,0.2442450064852975,0.4585308056872038,1.3053765692140382,0.7571428571428571,0.2081545064377682,0.0271408968317383,0.3609534619750283,1.1971261826469255,0.7166666666666667,0.186695278969957,2.0,310.75,1018.28,-0.0064355919895246,0.0185525276461295,-0.1829199607347535,0.0231440677639138,-0.0002779493091658,12,-159.61,0.0,15.333333333333336,-5.333333333333336,20.666666666666668,0.0,6.2222222222222285,0.11111111111111072,6.111111111111111,0.0,10.27777777777778,-7.000000000000001,17.277777777777775,0.0,19.291666666666664,-9.191666666666668,28.483333333333334,3.0,3.0,0.0,1.0,53.333333333333336,16.333333333333332,37.0,1.0,48.94444444444445,14.944444444444445,34.0,0.0,0.0,0.0,0.0,0.0,7.458333333333336,3.208333333333332,4.25,3.0,3.0,0.0,1.0,38.0,21.666666666666668,16.333333333333332,1.0,42.72222222222222,14.833333333333334,27.88888888888889,0.0,-10.27777777777778,7.000000000000001,-17.277777777777775,0.0,-11.833333333333329,12.4,-24.233333333333334
401403926,2022,8,regular,2022-10-22T16:00:00.000Z,False,True,False,False,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,65,"[21, 31, 6, 7]",0.9989678969866824,1910,1910,2630,UT Martin,fcs,OVC,24,"[7, 0, 7, 10]",0.0010321030133176,,,1.1374797332,,,41,41,0.2378094144957728,0.4770833333333333,1.1224566084792846,0.8395061728395061,0.1077199281867145,0.0502849645956521,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.2274881516587677,14,267.26,858.67,,,,,,,,,,,,,,0.2378094144957728,0.4770833333333333,1.1224566084792846,0.0502849645956521,0.3606755126658625,14,858.67,0.6666666666666667,25.66666666666667,-2.5,28.166666666666668,0.5555555555555556,14.666666666666668,-7.888888888888886,22.55555555555555,0.0,-4.055555555555557,9.777777777777777,-13.833333333333332,0.1666666666666666,13.175000000000004,13.233333333333334,-0.05833333333333446,4.0,4.0,0.0,1.0,53.0,24.5,28.5,1.0,46.27777777777778,20.444444444444443,25.83333333333333,0.0,-4.055555555555557,9.777777777777777,-13.833333333333332,0.0,5.633333333333333,10.733333333333334,-5.100000000000001,3.0,1.0,2.0,0.3333333333333333,27.33333333333333,27.0,0.3333333333333333,0.4444444444444444,31.61111111111111,28.33333333333333,3.277777777777778,0.0,0.0,0.0,0.0,-0.1666666666666666,-7.541666666666671,-2.5,-5.041666666666667
401403930,2022,9,regular,2022-10-29T23:00:00.000Z,False,True,False,True,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,44,"[7, 20, 10, 7]",0.9984733508448044,1886,1970,96,Kentucky,fbs,SEC,6,"[6, 0, 0, 0]",0.0015266491551955,1696.0,1612.0,2.5217814276,,,38,38,0.2378094144957728,0.4770833333333333,1.1224566084792846,0.8395061728395061,0.1077199281867145,0.0502849645956521,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.2274881516587677,14,267.26,858.67,0.0866484183778399,0.4166666666666667,1.1707586242568977,0.7543859649122807,0.1847290640394088,0.1392262246358277,0.4439716312056737,1.1176321714500252,0.7735849056603774,0.1858190709046454,24.0,236.86,788.36,0.1511609961179328,0.0604166666666666,-0.0483020157776128,-0.0889412600401755,-0.0832961185398112,-10,70.30999999999995,0.5,32.9,5.399999999999999,27.5,0.3833333333333333,30.627777777777787,5.261111111111106,25.366666666666664,0.1055555555555555,2.6833333333333407,9.372222222222218,-6.688888888888888,0.2033333333333333,7.49777777777777,4.80111111111111,2.696666666666667,5.0,5.0,0.0,1.0,55.4,24.4,31.0,1.0,53.91111111111112,21.74444444444444,32.166666666666664,0.0,3.577777777777783,11.077777777777774,-7.5,0.0,7.094444444444434,8.844444444444443,-1.75,2.0,1.0,1.0,0.5,22.5,19.0,3.5,0.6166666666666667,23.28333333333333,16.483333333333334,6.8,-0.1055555555555555,0.8944444444444422,1.7055555555555555,-0.8111111111111118,-0.2033333333333333,-0.403333333333336,4.043333333333333,-4.446666666666667
401403933,2022,10,regular,2022-11-05T19:30:00.000Z,False,True,False,True,92746.0,3917,Sanford Stadium,61,Georgia,fbs,SEC,27,"[14, 10, 3, 0]",0.9971422488560808,2155,2168,2633,Tennessee,fbs,SEC,13,"[3, 3, 0, 7]",0.0028577511439192,1970.0,1957.0,2.6998191137,,,14,-14,0.2319310285982587,0.4615384615384615,1.2192178740647832,0.75,0.1912832929782082,0.1064243579153682,0.3815789473684211,1.2220280505360088,0.7818181818181819,0.171806167400881,1,317.05,1006.89,0.2378094144957728,0.4770833333333333,1.1224566084792846,0.8395061728395061,0.1077199281867145,0.0502849645956521,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.2274881516587677,14.0,267.26,858.67,-0.005878385897514,-0.0155448717948717,0.0967612655854985,0.0561393933197161,0.0209034347025585,-13,148.22000000000003,0.0,10.875,-5.125,16.0,0.0,-2.0321428571428513,-9.444841269841271,7.412698412698411,0.0,-0.7821428571428584,-11.028174603174607,10.24603174603174,0.0,12.814285714285724,-1.146031746031751,13.960317460317462,8.0,8.0,0.0,1.0,45.875,12.875,33.0,1.0,45.767857142857146,12.85515873015873,32.91269841269841,0.0,-3.31547619047619,0.6051587301587293,-3.920634920634925,0.0,-1.5047619047618994,0.034920634920633,-1.5396825396825378,3.0,3.0,0.0,1.0,35.0,18.0,17.0,1.0,47.8,22.3,25.5,0.0,-2.5333333333333314,11.633333333333336,-14.166666666666664,0.0,-14.319047619047623,1.180952380952384,-15.5
