id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,actual_spread,tennessee_actual_spread
401403864,2022,1,regular,2022-09-01T23:00:00.000Z,False,True,False,False,92236.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,59,"[17, 21, 14, 7]",0.9984193930948008,1640,1756,2050,Ball State,fbs,Mid-American,10,"[0, 0, 7, 3]",0.0015806069051993,1410.0,1294.0,1.1199358518,,,,
401442019,2022,1,postseason,2022-12-31T01:00:00.000Z,False,True,True,False,63912.0,3948,Hard Rock Stadium,228,Clemson,fbs,ACC,14,"[0, 3, 3, 8]",0.0316062922115287,1866,1843,2633,Tennessee,fbs,SEC,31,"[7, 7, 7, 10]",0.9683937077884712,1977.0,2000.0,5.5857210475,,Capital One Orange Bowl,,
401403877,2022,2,regular,2022-09-10T19:30:00.000Z,False,True,False,False,59785.0,3752,Acrisure Stadium,221,Pittsburgh,fbs,ACC,27,"[10, 7, 0, 10, 0]",0.1815298712739166,1667,1661,2633,Tennessee,fbs,SEC,34,"[7, 17, 0, 3, 7]",0.8184701287260834,1756.0,1762.0,8.1259075107,,,,
401403889,2022,3,regular,2022-09-17T23:00:00.000Z,False,True,False,False,81532.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,63,"[14, 21, 14, 14]",0.998945585084284,1762,1835,2006,Akron,fbs,Mid-American,6,"[0, 0, 3, 3]",0.0010544149157158,1009.0,936.0,1.0740770864,,,,
401403901,2022,4,regular,2022-09-24T19:30:00.000Z,False,True,False,True,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,38,"[3, 14, 14, 7]",0.440906432185696,1835,1830,57,Florida,fbs,SEC,33,"[0, 14, 7, 12]",0.5590935678143041,1564.0,1569.0,6.5181355997,,,,
401403913,2022,6,regular,2022-10-08T16:00:00.000Z,False,True,False,True,102321.0,3958,Tiger Stadium (LA),99,LSU,fbs,SEC,13,"[0, 7, 0, 6]",0.0080536893456858,1644,1593,2633,Tennessee,fbs,SEC,40,"[13, 10, 14, 3]",0.9919463106543142,1830.0,1881.0,2.8471575872,,,,
401403921,2022,7,regular,2022-10-15T19:30:00.000Z,False,True,False,True,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,52,"[21, 7, 6, 18]",0.5294238354365478,1881,1886,333,Alabama,fbs,SEC,49,"[7, 13, 15, 14]",0.4705761645634522,2179.0,2174.0,8.7901495549,,,,
401403926,2022,8,regular,2022-10-22T16:00:00.000Z,False,True,False,False,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,65,"[21, 31, 6, 7]",0.9989678969866824,1910,1910,2630,UT Martin,fcs,OVC,24,"[7, 0, 7, 10]",0.0010321030133176,,,1.1374797332,,,,
401403930,2022,9,regular,2022-10-29T23:00:00.000Z,False,True,False,True,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,44,"[7, 20, 10, 7]",0.9984733508448044,1886,1970,96,Kentucky,fbs,SEC,6,"[6, 0, 0, 0]",0.0015266491551955,1696.0,1612.0,2.5217814276,,,,
401403933,2022,10,regular,2022-11-05T19:30:00.000Z,False,True,False,True,92746.0,3917,Sanford Stadium,61,Georgia,fbs,SEC,27,"[14, 10, 3, 0]",0.9971422488560808,2155,2168,2633,Tennessee,fbs,SEC,13,"[3, 3, 0, 7]",0.0028577511439192,1970.0,1957.0,2.6998191137,,,,
401403945,2022,11,regular,2022-11-12T17:00:00.000Z,False,True,False,True,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,66,"[7, 21, 21, 17]",0.9981246313376992,1957,2018,142,Missouri,fbs,SEC,24,"[7, 10, 7, 0]",0.0018753686623008,1485.0,1424.0,2.4410390784,,,,
401403953,2022,12,regular,2022-11-20T00:00:00.000Z,False,True,False,True,79041.0,3994,Williams-Brice Stadium,2579,South Carolina,fbs,SEC,63,"[21, 14, 7, 21]",0.9938376861899691,1460,1599,2633,Tennessee,fbs,SEC,38,"[7, 17, 7, 7]",0.0061623138100307,2018.0,1879.0,6.903828433,,,,
401403964,2022,13,regular,2022-11-27T00:30:00.000Z,False,True,False,True,40350.0,3973,FirstBank Stadium,238,Vanderbilt,fbs,SEC,0,"[0, 0, 0, 0]",0.0020101816382698,1332,1234,2633,Tennessee,fbs,SEC,56,"[14, 7, 21, 14]",0.9979898183617302,1879.0,1977.0,1.2045247161,,,,
401520179,2023,1,regular,2023-09-02T16:00:00.000Z,False,True,True,False,69507.0,3810,Nissan Stadium,2633,Tennessee,fbs,SEC,49,"[7, 14, 14, 14]",0.9989216060109892,1833,1887,258,Virginia,fbs,ACC,13,"[0, 3, 7, 3]",0.0010783939890106,1393.0,1339.0,1.4530125893,,,,
401551780,2023,1,postseason,2024-01-01T18:00:00.000Z,False,True,True,False,43861.0,4013,Camping World Stadium,2633,Tennessee,fbs,SEC,35,"[0, 14, 7, 14]",0.9986558395437592,1786,1877,2294,Iowa,fbs,Big Ten,0,"[0, 0, 0, 0]",0.0013441604562408,1666.0,1575.0,3.8609151832,,Cheez-It Citrus Bowl,,
401520213,2023,2,regular,2023-09-09T21:00:00.000Z,False,True,False,False,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,30,"[3, 10, 10, 7]",0.9885686861865588,1735,1735,2046,Austin Peay,fcs,UAC,13,"[3, 3, 0, 7]",0.0114313138134413,,,7.2248857394,,,,
401520224,2023,3,regular,2023-09-16T23:00:00.000Z,False,True,False,True,90751.0,3634,Ben Hill Griffin Stadium,57,Florida,fbs,SEC,29,"[6, 20, 0, 3]",0.9678796152955736,1546,1603,2633,Tennessee,fbs,SEC,16,"[7, 0, 3, 6]",0.0321203847044263,1887.0,1830.0,4.3957610335,,,,
