feature,importance
opponent_elo,0.24544264686459327
away_off_ppa,0.12248245036187048
away_talent_score,0.07665659943912358
tennessee_elo,0.05797652549942597
away_recruiting_points,0.049648015007193465
home_def_explosiveness,0.0436293281336277
home_def_stuff_rate,0.04171301738074152
talent_score_diff,0.03668154599493737
is_conference_game,0.03615871119926787
elo_difference,0.03550898195721606
season,0.03016156574323467
recruiting_rank_diff,0.016262366445482
away_off_success_rate,0.015011064739491044
home_def_ppa,0.014977876984309978
def_ppa_diff,0.014946055240682021
off_ppa_diff,0.014253104381099991
away_recruiting_rank,0.013587028439835593
away_off_power_success,0.013489492530770773
off_success_rate_diff,0.012523820730992336
home_off_power_success,0.011123310970657914
week,0.010719475050367045
away_def_power_success,0.009314553436263645
is_neutral_site,0.007497963872064524
home_recruiting_points,0.0066837144816536374
home_recruiting_rank,0.006115415978955675
home_off_stuff_rate,0.0057789768829766995
home_def_power_success,0.005745243487762146
def_success_rate_diff,0.005058587488077907
home_talent_score,0.004711206880085031
away_def_explosiveness,0.004542919336414562
off_explosiveness_diff,0.004058643439232771
home_off_explosiveness,0.003939779309815525
away_off_stuff_rate,0.002987795654877442
attendance,0.0025613342336306107
home_off_success_rate,0.002372403910761143
home_off_ppa,0.0022805905875769887
is_mid_season,0.0020490750193935094
away_def_ppa,0.001961465077424188
away_off_explosiveness,0.0019500804958457335
home_def_success_rate,0.0016251081838180939
away_def_stuff_rate,0.0016107339861819317
is_late_season,0.001534658369163894
away_def_success_rate,0.001314762705848608
is_early_season,0.0011610880096046983
is_postseason,0.00012030033743020358
is_home_game,7.061574022015178e-05
