id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,actual_spread,tennessee_actual_spread,home_off_ppa,home_off_success_rate,home_off_explosiveness,home_off_power_success,home_off_stuff_rate,home_def_ppa,home_def_success_rate,home_def_explosiveness,home_def_power_success,home_def_stuff_rate,home_recruiting_rank,home_recruiting_points,home_talent_score,away_off_ppa,away_off_success_rate,away_off_explosiveness,away_off_power_success,away_off_stuff_rate,away_def_ppa,away_def_success_rate,away_def_explosiveness,away_def_power_success,away_def_stuff_rate,away_recruiting_rank,away_recruiting_points,away_talent_score,off_ppa_diff,off_success_rate_diff,off_explosiveness_diff,def_ppa_diff,def_success_rate_diff,recruiting_rank_diff,talent_score_diff
401403864,2022,1,regular,2022-09-01T23:00:00.000Z,False,True,False,False,92236.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,59,"[17, 21, 14, 7]",0.9984193930948008,1640,1756,2050,Ball State,fbs,Mid-American,10,"[0, 0, 7, 3]",0.0015806069051993,1410.0,1294.0,1.1199358518,,,49,49,0.23780941449577284,0.47708333333333336,1.1224566084792846,0.8395061728395061,0.10771992818671454,0.05028496459565216,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.22748815165876776,14,267.26,858.67,0.11680706978154387,0.41044776119402987,1.2391439371890978,0.7674418604651163,0.14029850746268657,0.34926062977204586,0.4713375796178344,1.4537913967360996,0.7450980392156863,0.1618798955613577,112.0,140.08,464.07,0.12100234471422897,0.06663557213930349,-0.11668732870981313,-0.2989756651763937,-0.1106620669519719,-98,394.59999999999997
401442019,2022,1,postseason,2022-12-31T01:00:00.000Z,False,True,True,False,63912.0,3948,Hard Rock Stadium,228,Clemson,fbs,ACC,14,"[0, 3, 3, 8]",0.0316062922115287,1866,1843,2633,Tennessee,fbs,SEC,31,"[7, 7, 7, 10]",0.9683937077884712,1977.0,2000.0,5.5857210475,,Capital One Orange Bowl,-17,17,0.25097392376135536,0.46292585170340683,1.2502632427410763,0.7384615384615385,0.16179775280898875,0.13349810858147168,0.4036208732694356,1.3423989635688816,0.6226415094339622,0.1842696629213483,11,272.19,924.63,0.23780941449577284,0.47708333333333336,1.1224566084792846,0.8395061728395061,0.10771992818671454,0.05028496459565216,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.22748815165876776,14.0,267.26,858.67,0.013164509265582519,-0.014157481629926527,0.12780663426179162,0.08321314398581953,0.04294536060357307,-3,65.96000000000004
401403877,2022,2,regular,2022-09-10T19:30:00.000Z,False,True,False,False,59785.0,3752,Acrisure Stadium,221,Pittsburgh,fbs,ACC,27,"[10, 7, 0, 10, 0]",0.1815298712739166,1667,1661,2633,Tennessee,fbs,SEC,34,"[7, 17, 0, 3, 7]",0.8184701287260834,1756.0,1762.0,8.1259075107,,,-7,7,0.1563534456331031,0.42006615214994486,1.3500831029531577,0.7678571428571429,0.1742627345844504,0.0992697749695182,0.3802966101694915,1.4077478409224855,0.4791666666666667,0.2586605080831409,41,204.1,713.74,0.23780941449577284,0.47708333333333336,1.1224566084792846,0.8395061728395061,0.10771992818671454,0.05028496459565216,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.22748815165876776,14.0,267.26,858.67,-0.08145596886266973,-0.0570171811833885,0.22762649447387306,0.048984810373866046,0.019621097503629004,27,-144.92999999999995
401403889,2022,3,regular,2022-09-17T23:00:00.000Z,False,True,False,False,81532.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,63,"[14, 21, 14, 14]",0.998945585084284,1762,1835,2006,Akron,fbs,Mid-American,6,"[0, 0, 3, 3]",0.0010544149157158,1009.0,936.0,1.0740770864,,,57,57,0.23780941449577284,0.47708333333333336,1.1224566084792846,0.8395061728395061,0.10771992818671454,0.05028496459565216,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.22748815165876776,14,267.26,858.67,0.06379003897790654,0.3880208333333333,1.2777041866304133,0.7837837837837838,0.19122257053291536,0.2110495511336605,0.44730392156862747,1.2353903353969045,0.6571428571428571,0.1951219512195122,101.0,146.65,537.82,0.17401937551786628,0.08906250000000004,-0.15524757815112866,-0.16076458653800835,-0.08662840890276496,-87,320.8499999999999
401403901,2022,4,regular,2022-09-24T19:30:00.000Z,False,True,False,True,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,38,"[3, 14, 14, 7]",0.440906432185696,1835,1830,57,Florida,fbs,SEC,33,"[0, 14, 7, 12]",0.5590935678143041,1564.0,1569.0,6.5181355997,,,5,5,0.23780941449577284,0.47708333333333336,1.1224566084792846,0.8395061728395061,0.10771992818671454,0.05028496459565216,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.22748815165876776,14,267.26,858.67,0.20008222610293505,0.44125,1.2171658158836791,0.8113207547169812,0.16666666666666666,0.13140472033282627,0.42826321467098166,1.198085877917999,0.6716417910447762,0.16631578947368422,13.0,268.25,894.24,0.037727188392837785,0.035833333333333384,-0.09470920740439448,-0.08111975573717412,-0.06758770200511915,1,-35.57000000000005
401403913,2022,6,regular,2022-10-08T16:00:00.000Z,False,True,False,True,102321.0,3958,Tiger Stadium (LA),99,LSU,fbs,SEC,13,"[0, 7, 0, 6]",0.0080536893456858,1644,1593,2633,Tennessee,fbs,SEC,40,"[13, 10, 14, 3]",0.9919463106543142,1830.0,1881.0,2.8471575872,,,-27,27,0.23637252865128844,0.44039735099337746,1.289803843669534,0.8095238095238095,0.16944444444444445,0.170520417762022,0.41366459627329194,1.3570654403365192,0.82,0.18546365914786966,7,278.75,906.19,0.23780941449577284,0.47708333333333336,1.1224566084792846,0.8395061728395061,0.10771992818671454,0.05028496459565216,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.22748815165876776,14.0,267.26,858.67,-0.001436885844484398,-0.0366859823399559,0.1673472351902494,0.12023545316636985,0.05298908360742943,-7,47.520000000000095
401403921,2022,7,regular,2022-10-15T19:30:00.000Z,False,True,False,True,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,52,"[21, 7, 6, 18]",0.5294238354365478,1881,1886,333,Alabama,fbs,SEC,49,"[7, 13, 15, 14]",0.4705761645634522,2179.0,2174.0,8.7901495549,,,3,3,0.23780941449577284,0.47708333333333336,1.1224566084792846,0.8395061728395061,0.10771992818671454,0.05028496459565216,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.22748815165876776,14,267.26,858.67,0.2442450064852975,0.4585308056872038,1.3053765692140382,0.7571428571428571,0.20815450643776823,0.02714089683173836,0.36095346197502837,1.1971261826469255,0.7166666666666667,0.18669527896995708,2.0,310.75,1018.28,-0.006435591989524675,0.01855252764612958,-0.18291996073475358,0.0231440677639138,-0.00027794930916585914,12,-159.61
401403926,2022,8,regular,2022-10-22T16:00:00.000Z,False,True,False,False,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,65,"[21, 31, 6, 7]",0.9989678969866824,1910,1910,2630,UT Martin,fcs,OVC,24,"[7, 0, 7, 10]",0.0010321030133176,,,1.1374797332,,,41,41,0.23780941449577284,0.47708333333333336,1.1224566084792846,0.8395061728395061,0.10771992818671454,0.05028496459565216,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.22748815165876776,14,267.26,858.67,,,,,,,,,,,,,,0.23780941449577284,0.47708333333333336,1.1224566084792846,0.05028496459565216,0.3606755126658625,14,858.67
401403930,2022,9,regular,2022-10-29T23:00:00.000Z,False,True,False,True,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,44,"[7, 20, 10, 7]",0.9984733508448044,1886,1970,96,Kentucky,fbs,SEC,6,"[6, 0, 0, 0]",0.0015266491551955,1696.0,1612.0,2.5217814276,,,38,38,0.23780941449577284,0.47708333333333336,1.1224566084792846,0.8395061728395061,0.10771992818671454,0.05028496459565216,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.22748815165876776,14,267.26,858.67,0.08664841837783999,0.4166666666666667,1.1707586242568975,0.7543859649122807,0.18472906403940886,0.1392262246358277,0.44397163120567373,1.1176321714500252,0.7735849056603774,0.18581907090464547,24.0,236.86,788.36,0.15116099611793285,0.060416666666666674,-0.04830201577761284,-0.08894126004017555,-0.08329611853981123,-10,70.30999999999995
401403933,2022,10,regular,2022-11-05T19:30:00.000Z,False,True,False,True,92746.0,3917,Sanford Stadium,61,Georgia,fbs,SEC,27,"[14, 10, 3, 0]",0.9971422488560808,2155,2168,2633,Tennessee,fbs,SEC,13,"[3, 3, 0, 7]",0.0028577511439192,1970.0,1957.0,2.6998191137,,,14,-14,0.23193102859825876,0.46153846153846156,1.2192178740647832,0.75,0.19128329297820823,0.10642435791536829,0.3815789473684211,1.2220280505360088,0.7818181818181819,0.17180616740088106,1,317.05,1006.89,0.23780941449577284,0.47708333333333336,1.1224566084792846,0.8395061728395061,0.10771992818671454,0.05028496459565216,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.22748815165876776,14.0,267.26,858.67,-0.005878385897514077,-0.015544871794871795,0.09676126558549858,0.05613939331971613,0.020903434702558565,-13,148.22000000000003
