season,playerId,player,position,team,conference,category,statType,stat
2024,4367069,Ty Son Lawton,RB,Indiana,Big Ten,passing,YDS,0
2024,4367069,Ty Son Lawton,RB,Indiana,Big Ten,passing,YPA,0.0
2024,4369910,Chance Newman,QB,Northwestern State,Southland,passing,ATT,1
2024,4369910,Chance Newman,QB,Northwestern State,Southland,passing,COMPLETIONS,1
2024,4369910,Chance Newman,QB,Northwestern State,Southland,passing,INT,0
2024,4369910,Chance Newman,QB,Northwestern State,Southland,passing,PCT,1.000
2024,4369910,Chance Newman,QB,Northwestern State,Southland,passing,TD,0
2024,4369910,Chance Newman,QB,Northwestern State,Southland,passing,YDS,6
2024,4369910,Chance Newman,QB,Northwestern State,Southland,passing,YPA,6.0
2024,4370170,Landon Parker,WR,Troy,Sun Belt,passing,ATT,3
2024,4370170,Landon Parker,WR,Troy,Sun Belt,passing,COMPLETIONS,1
2024,4370170,Landon Parker,WR,Troy,Sun Belt,passing,INT,0
2024,4370170,Landon Parker,WR,Troy,Sun Belt,passing,PCT,0.333
2024,4370170,Landon Parker,WR,Troy,Sun Belt,passing,TD,0
2024,4370170,Landon Parker,WR,Troy,Sun Belt,passing,YDS,29
2024,4370170,Landon Parker,WR,Troy,Sun Belt,passing,YPA,9.7
2024,4371078,Romelo Williams,QB,Virginia St,CIAA,passing,ATT,20
2024,4371078,Romelo Williams,QB,Virginia St,CIAA,passing,COMPLETIONS,14
2024,4371078,Romelo Williams,QB,Virginia St,CIAA,passing,INT,1
2024,4371078,Romelo Williams,QB,Virginia St,CIAA,passing,PCT,0.700
2024,4371078,Romelo Williams,QB,Virginia St,CIAA,passing,TD,1
2024,4371078,Romelo Williams,QB,Virginia St,CIAA,passing,YDS,171
2024,4371078,Romelo Williams,QB,Virginia St,CIAA,passing,YPA,8.6
2024,4373895,Ben Wooldridge,QB,Louisiana,Sun Belt,passing,ATT,291
2024,4373895,Ben Wooldridge,QB,Louisiana,Sun Belt,passing,COMPLETIONS,192
2024,4373895,Ben Wooldridge,QB,Louisiana,Sun Belt,passing,INT,6
2024,4373895,Ben Wooldridge,QB,Louisiana,Sun Belt,passing,PCT,0.660
2024,4373895,Ben Wooldridge,QB,Louisiana,Sun Belt,passing,TD,17
2024,4373895,Ben Wooldridge,QB,Louisiana,Sun Belt,passing,YDS,2453
2024,4373895,Ben Wooldridge,QB,Louisiana,Sun Belt,passing,YPA,8.4
2024,4379400,Matthew Downing,QB,Elon,CAA,passing,ATT,233
2024,4379400,Matthew Downing,QB,Elon,CAA,passing,COMPLETIONS,144
2024,4379400,Matthew Downing,QB,Elon,CAA,passing,INT,4
2024,4379400,Matthew Downing,QB,Elon,CAA,passing,PCT,0.618
2024,4379400,Matthew Downing,QB,Elon,CAA,passing,TD,16
2024,4379400,Matthew Downing,QB,Elon,CAA,passing,YDS,2049
2024,4379400,Matthew Downing,QB,Elon,CAA,passing,YPA,8.8
2024,4384603,Will McElvain,QB,Central Arkansas,UAC,passing,ATT,257
2024,4384603,Will McElvain,QB,Central Arkansas,UAC,passing,COMPLETIONS,169
2024,4384603,Will McElvain,QB,Central Arkansas,UAC,passing,INT,6
2024,4384603,Will McElvain,QB,Central Arkansas,UAC,passing,PCT,0.658
2024,4384603,Will McElvain,QB,Central Arkansas,UAC,passing,TD,14
2024,4384603,Will McElvain,QB,Central Arkansas,UAC,passing,YDS,1958
2024,4384603,Will McElvain,QB,Central Arkansas,UAC,passing,YPA,7.6
2024,4426335,Graham Mertz,QB,Florida,SEC,passing,ATT,94
2024,4426335,Graham Mertz,QB,Florida,SEC,passing,COMPLETIONS,72
2024,4426335,Graham Mertz,QB,Florida,SEC,passing,INT,2
2024,4426335,Graham Mertz,QB,Florida,SEC,passing,PCT,0.766
2024,4426335,Graham Mertz,QB,Florida,SEC,passing,TD,6
2024,4426335,Graham Mertz,QB,Florida,SEC,passing,YDS,791
2024,4426335,Graham Mertz,QB,Florida,SEC,passing,YPA,8.4
2024,4426417,Jacob Zeno,QB,UAB,American Athletic,passing,ATT,118
2024,4426417,Jacob Zeno,QB,UAB,American Athletic,passing,COMPLETIONS,82
2024,4426417,Jacob Zeno,QB,UAB,American Athletic,passing,INT,5
2024,4426417,Jacob Zeno,QB,UAB,American Athletic,passing,PCT,0.695
2024,4426417,Jacob Zeno,QB,UAB,American Athletic,passing,TD,6
2024,4426417,Jacob Zeno,QB,UAB,American Athletic,passing,YDS,819
2024,4426417,Jacob Zeno,QB,UAB,American Athletic,passing,YPA,6.9
2024,4426430,Taisun Phommachanh,QB,Massachusetts,FBS Independents,passing,ATT,234
2024,4426430,Taisun Phommachanh,QB,Massachusetts,FBS Independents,passing,COMPLETIONS,132
2024,4426430,Taisun Phommachanh,QB,Massachusetts,FBS Independents,passing,INT,6
2024,4426430,Taisun Phommachanh,QB,Massachusetts,FBS Independents,passing,PCT,0.564
2024,4426430,Taisun Phommachanh,QB,Massachusetts,FBS Independents,passing,TD,8
2024,4426430,Taisun Phommachanh,QB,Massachusetts,FBS Independents,passing,YDS,1590
2024,4426430,Taisun Phommachanh,QB,Massachusetts,FBS Independents,passing,YPA,6.8
2024,4426444,Connor Bazelak,QB,Bowling Green,Mid-American,passing,ATT,402
2024,4426444,Connor Bazelak,QB,Bowling Green,Mid-American,passing,COMPLETIONS,269
2024,4426444,Connor Bazelak,QB,Bowling Green,Mid-American,passing,INT,5
2024,4426444,Connor Bazelak,QB,Bowling Green,Mid-American,passing,PCT,0.669
2024,4426444,Connor Bazelak,QB,Bowling Green,Mid-American,passing,TD,18
2024,4426444,Connor Bazelak,QB,Bowling Green,Mid-American,passing,YDS,3044
2024,4426444,Connor Bazelak,QB,Bowling Green,Mid-American,passing,YPA,7.6
2024,4426499,Hank Bachmeier,QB,Wake Forest,ACC,passing,ATT,357
2024,4426499,Hank Bachmeier,QB,Wake Forest,ACC,passing,COMPLETIONS,224
2024,4426499,Hank Bachmeier,QB,Wake Forest,ACC,passing,INT,10
2024,4426499,Hank Bachmeier,QB,Wake Forest,ACC,passing,PCT,0.627
2024,4426499,Hank Bachmeier,QB,Wake Forest,ACC,passing,TD,16
2024,4426499,Hank Bachmeier,QB,Wake Forest,ACC,passing,YDS,2593
2024,4426499,Hank Bachmeier,QB,Wake Forest,ACC,passing,YPA,7.3
2024,4426657,Ryan Hilinski,QB,Northwestern,Big Ten,passing,ATT,15
2024,4426657,Ryan Hilinski,QB,Northwestern,Big Ten,passing,COMPLETIONS,9
2024,4426657,Ryan Hilinski,QB,Northwestern,Big Ten,passing,INT,1
2024,4426657,Ryan Hilinski,QB,Northwestern,Big Ten,passing,PCT,0.600
2024,4426657,Ryan Hilinski,QB,Northwestern,Big Ten,passing,TD,0
2024,4426657,Ryan Hilinski,QB,Northwestern,Big Ten,passing,YDS,121
2024,4426657,Ryan Hilinski,QB,Northwestern,Big Ten,passing,YPA,8.1
