team,season,week,games_played,wins,losses,win_rate,points_for,points_against,margin,points_per_game,points_allowed_per_game,margin_per_game,home_wins,home_losses,away_wins,away_losses
Arizona State,2024,7,4,3,1,0.75,144.0,100.0,44.0,36.0,25.0,11.0,3,1,0,0
Arizona State,2024,11,5,4,1,0.8,171.0,119.0,52.0,34.2,23.8,10.4,4,1,0,0
Arizona State,2024,13,6,5,1,0.8333333333333334,206.0,150.0,56.0,34.333333333333336,25.0,9.333333333333334,5,1,0,0
Arizona State,2024,15,7,6,1,0.8571428571428571,234.0,173.0,61.0,33.42857142857143,24.714285714285715,8.714285714285714,6,1,0,0
Arkansas,2022,2,2,2,0,1.0,86.0,77.0,9.0,43.0,38.5,4.5,2,0,0,0
Arkansas,2022,3,3,3,0,1.0,130.0,107.0,23.0,43.333333333333336,35.666666666666664,7.666666666666667,3,0,0,0
Arkansas,2022,5,4,4,0,1.0,168.0,134.0,34.0,42.0,33.5,8.5,4,0,0,0
Arkansas,2022,10,5,4,1,0.8,194.0,183.0,11.0,38.8,36.6,2.2,4,1,0,0
Arkansas,2022,11,6,4,2,0.6666666666666666,213.0,204.0,9.0,35.5,34.0,1.5,4,2,0,0
Arkansas,2022,12,7,4,3,0.5714285714285714,223.0,217.0,6.0,31.857142857142858,31.0,0.8571428571428571,4,3,0,0
Arkansas,2023,2,1,1,0,1.0,56.0,13.0,43.0,56.0,13.0,43.0,1,0,0,0
Arkansas,2023,3,2,2,0,1.0,84.0,19.0,65.0,42.0,9.5,32.5,2,0,0,0
Arkansas,2023,5,3,2,1,0.6666666666666666,115.0,57.0,58.0,38.333333333333336,19.0,19.333333333333332,2,1,0,0
Arkansas,2023,8,4,2,2,0.5,137.0,91.0,46.0,34.25,22.75,11.5,2,2,0,0
Arkansas,2023,11,5,2,3,0.4,140.0,98.0,42.0,28.0,19.6,8.4,2,3,0,0
Arkansas,2023,12,6,2,4,0.3333333333333333,150.0,146.0,4.0,25.0,24.333333333333332,0.6666666666666666,2,4,0,0
Arkansas,2023,13,7,3,4,0.42857142857142855,194.0,166.0,28.0,27.714285714285715,23.714285714285715,4.0,3,4,0,0
Arkansas,2024,3,2,2,0,1.0,109.0,26.0,83.0,54.5,13.0,41.5,2,0,0,0
Arkansas,2024,6,3,3,0,1.0,146.0,53.0,93.0,48.666666666666664,17.666666666666668,31.0,3,0,0,0
Arkansas,2024,8,4,4,0,1.0,165.0,67.0,98.0,41.25,16.75,24.5,4,0,0,0
Arkansas,2024,10,5,4,1,0.8,175.0,101.0,74.0,35.0,20.2,14.8,4,1,0,0
Arkansas,2024,12,6,4,2,0.6666666666666666,206.0,164.0,42.0,34.333333333333336,27.333333333333332,7.0,4,2,0,0
Arkansas,2024,13,7,4,3,0.5714285714285714,216.0,184.0,32.0,30.857142857142858,26.285714285714285,4.571428571428571,4,3,0,0
Arkansas State,2022,5,1,1,0,1.0,58.0,3.0,55.0,58.0,3.0,55.0,1,0,0,0
Arkansas State,2022,6,2,2,0,1.0,103.0,31.0,72.0,51.5,15.5,36.0,2,0,0,0
Arkansas State,2022,9,3,2,1,0.6666666666666666,123.0,73.0,50.0,41.0,24.333333333333332,16.666666666666668,2,1,0,0
Arkansas State,2022,11,4,2,2,0.5,126.0,104.0,22.0,31.5,26.0,5.5,2,2,0,0
Arkansas State,2022,13,5,3,2,0.6,161.0,137.0,24.0,32.2,27.4,4.8,3,2,0,0
Arkansas State,2023,3,1,0,1,0.0,3.0,37.0,-34.0,3.0,37.0,-34.0,0,1,0,0
Arkansas State,2023,4,2,1,1,0.5,34.0,44.0,-10.0,17.0,22.0,-5.0,1,1,0,0
Arkansas State,2023,8,3,2,1,0.6666666666666666,78.0,81.0,-3.0,26.0,27.0,-1.0,2,1,0,0
Arkansas State,2023,10,4,2,2,0.5,95.0,108.0,-13.0,23.75,27.0,-3.25,2,2,0,0
Arkansas State,2023,12,5,3,2,0.6,132.0,125.0,7.0,26.4,25.0,1.4,3,2,0,0
Arkansas State,2024,2,1,1,0,1.0,34.0,31.0,3.0,34.0,31.0,3.0,1,0,0,0
Arkansas State,2024,6,2,2,0,1.0,62.0,55.0,7.0,31.0,27.5,3.5,2,0,0,0
Arkansas State,2024,9,3,3,0,1.0,80.0,71.0,9.0,26.666666666666668,23.666666666666668,3.0,3,0,0,0
Arkansas State,2024,13,4,4,0,1.0,114.0,102.0,12.0,28.5,25.5,3.0,4,0,0,0
Arkansas State,2024,14,5,5,0,1.0,142.0,123.0,19.0,28.4,24.6,3.8,5,0,0,0
Arkansas Tech,2022,3,1,1,0,1.0,35.0,13.0,22.0,35.0,13.0,22.0,1,0,0,0
Arkansas Tech,2022,5,2,1,1,0.5,49.0,76.0,-27.0,24.5,38.0,-13.5,1,1,0,0
Arkansas Tech,2022,7,3,2,1,0.6666666666666666,97.0,111.0,-14.0,32.333333333333336,37.0,-4.666666666666667,2,1,0,0
Arkansas Tech,2022,9,4,2,2,0.5,130.0,160.0,-30.0,32.5,40.0,-7.5,2,2,0,0
Arkansas Tech,2023,3,1,0,1,0.0,31.0,38.0,-7.0,31.0,38.0,-7.0,0,1,0,0
Arkansas Tech,2023,5,2,0,2,0.0,55.0,65.0,-10.0,27.5,32.5,-5.0,0,2,0,0
Arkansas Tech,2023,7,3,1,2,0.3333333333333333,99.0,86.0,13.0,33.0,28.666666666666668,4.333333333333333,1,2,0,0
Arkansas Tech,2023,10,4,2,2,0.5,123.0,96.0,27.0,30.75,24.0,6.75,2,2,0,0
Arkansas Tech,2023,11,5,3,2,0.6,137.0,103.0,34.0,27.4,20.6,6.8,3,2,0,0
Arkansas Tech,2024,5,1,1,0,1.0,44.0,41.0,3.0,44.0,41.0,3.0,1,0,0,0
Arkansas Tech,2024,7,2,1,1,0.5,51.0,79.0,-28.0,25.5,39.5,-14.0,1,1,0,0
Arkansas Tech,2024,9,3,2,1,0.6666666666666666,80.0,98.0,-18.0,26.666666666666668,32.666666666666664,-6.0,2,1,0,0
Arkansas Tech,2024,10,4,2,2,0.5,87.0,136.0,-49.0,21.75,34.0,-12.25,2,2,0,0
Arkansas-Monticello,2022,4,1,1,0,1.0,40.0,17.0,23.0,40.0,17.0,23.0,1,0,0,0
Arkansas-Monticello,2022,6,2,2,0,1.0,75.0,31.0,44.0,37.5,15.5,22.0,2,0,0,0
Arkansas-Monticello,2022,8,3,2,1,0.6666666666666666,98.0,57.0,41.0,32.666666666666664,19.0,13.666666666666666,2,1,0,0
Arkansas-Monticello,2022,9,4,2,2,0.5,141.0,113.0,28.0,35.25,28.25,7.0,2,2,0,0
Arkansas-Monticello,2022,11,5,2,3,0.4,161.0,161.0,0.0,32.2,32.2,0.0,2,3,0,0
Arkansas-Monticello,2023,4,1,1,0,1.0,58.0,21.0,37.0,58.0,21.0,37.0,1,0,0,0
Arkansas-Monticello,2023,5,2,1,1,0.5,83.0,66.0,17.0,41.5,33.0,8.5,1,1,0,0
Arkansas-Monticello,2023,8,3,1,2,0.3333333333333333,111.0,101.0,10.0,37.0,33.666666666666664,3.3333333333333335,1,2,0,0
Arkansas-Monticello,2023,10,4,1,3,0.25,125.0,143.0,-18.0,31.25,35.75,-4.5,1,3,0,0
Arkansas-Monticello,2024,4,1,1,0,1.0,34.0,7.0,27.0,34.0,7.0,27.0,1,0,0,0
Arkansas-Monticello,2024,7,2,1,1,0.5,37.0,70.0,-33.0,18.5,35.0,-16.5,1,1,0,0
Arkansas-Monticello,2024,8,3,1,2,0.3333333333333333,37.0,97.0,-60.0,12.333333333333334,32.333333333333336,-20.0,1,2,0,0
Arkansas-Monticello,2024,10,4,2,2,0.5,61.0,110.0,-49.0,15.25,27.5,-12.25,2,2,0,0
Arkansas-Monticello,2024,12,5,3,2,0.6,85.0,130.0,-45.0,17.0,26.0,-9.0,3,2,0,0
Arkansas-Pine Bluff,2022,2,1,1,0,1.0,48.0,42.0,6.0,48.0,42.0,6.0,1,0,0,0
Arkansas-Pine Bluff,2022,6,2,2,0,1.0,124.0,45.0,79.0,62.0,22.5,39.5,2,0,0,0
Arkansas-Pine Bluff,2022,7,3,2,1,0.6666666666666666,141.0,69.0,72.0,47.0,23.0,24.0,2,1,0,0
Arkansas-Pine Bluff,2022,11,4,2,2,0.5,172.0,103.0,69.0,43.0,25.75,17.25,2,2,0,0
Arkansas-Pine Bluff,2023,5,1,1,0,1.0,21.0,20.0,1.0,21.0,20.0,1.0,1,0,0,0
Arkansas-Pine Bluff,2023,8,2,1,1,0.5,21.0,47.0,-26.0,10.5,23.5,-13.0,1,1,0,0
Arkansas-Pine Bluff,2023,9,3,1,2,0.3333333333333333,28.0,78.0,-50.0,9.333333333333334,26.0,-16.666666666666668,1,2,0,0
Arkansas-Pine Bluff,2023,11,4,1,3,0.25,42.0,118.0,-76.0,10.5,29.5,-19.0,1,3,0,0
Arkansas-Pine Bluff,2024,4,1,1,0,1.0,73.0,0.0,73.0,73.0,0.0,73.0,1,0,0,0
Arkansas-Pine Bluff,2024,7,2,1,1,0.5,90.0,56.0,34.0,45.0,28.0,17.0,1,1,0,0
