team,season,week,games_played,wins,losses,win_rate,points_for,points_against,margin,points_per_game,points_allowed_per_game,margin_per_game,home_wins,home_losses,away_wins,away_losses
Massachusetts,2023,13,5,1,4,0.2,142.0,189.0,-47.0,28.4,37.8,-9.4,1,4,0,0
Massachusetts,2024,4,1,0,1,0.0,14.0,28.0,-14.0,14.0,28.0,-14.0,0,1,0,0
Massachusetts,2024,7,2,1,1,0.5,49.0,59.0,-10.0,24.5,29.5,-5.0,1,1,0,0
Massachusetts,2024,9,3,1,2,0.3333333333333333,52.0,104.0,-52.0,17.333333333333332,34.666666666666664,-17.333333333333332,1,2,0,0
Massachusetts,2024,12,4,2,2,0.5,87.0,111.0,-24.0,21.75,27.75,-6.0,2,2,0,0
Massachusetts,2024,14,5,2,3,0.4,121.0,146.0,-25.0,24.2,29.2,-5.0,2,3,0,0
McDaniel College,2022,3,1,0,1,0.0,27.0,37.0,-10.0,27.0,37.0,-10.0,0,1,0,0
McDaniel College,2022,5,2,0,2,0.0,30.0,72.0,-42.0,15.0,36.0,-21.0,0,2,0,0
McDaniel College,2022,8,3,1,2,0.3333333333333333,51.0,85.0,-34.0,17.0,28.333333333333332,-11.333333333333334,1,2,0,0
McDaniel College,2022,10,4,1,3,0.25,51.0,143.0,-92.0,12.75,35.75,-23.0,1,3,0,0
McDaniel College,2023,5,1,0,1,0.0,28.0,49.0,-21.0,28.0,49.0,-21.0,0,1,0,0
McDaniel College,2023,7,2,0,2,0.0,48.0,76.0,-28.0,24.0,38.0,-14.0,0,2,0,0
McDaniel College,2023,8,3,0,3,0.0,68.0,116.0,-48.0,22.666666666666668,38.666666666666664,-16.0,0,3,0,0
McDaniel College,2023,10,4,0,4,0.0,85.0,143.0,-58.0,21.25,35.75,-14.5,0,4,0,0
McDaniel College,2024,4,1,1,0,1.0,7.0,3.0,4.0,7.0,3.0,4.0,1,0,0,0
McDaniel College,2024,7,2,1,1,0.5,21.0,30.0,-9.0,10.5,15.0,-4.5,1,1,0,0
McDaniel College,2024,10,3,1,2,0.3333333333333333,27.0,64.0,-37.0,9.0,21.333333333333332,-12.333333333333334,1,2,0,0
McDaniel College,2024,12,4,1,3,0.25,27.0,106.0,-79.0,6.75,26.5,-19.75,1,3,0,0
McKendree,2022,4,1,0,1,0.0,34.0,58.0,-24.0,34.0,58.0,-24.0,0,1,0,0
McKendree,2022,6,2,1,1,0.5,80.0,68.0,12.0,40.0,34.0,6.0,1,1,0,0
McKendree,2022,7,3,1,2,0.3333333333333333,103.0,106.0,-3.0,34.333333333333336,35.333333333333336,-1.0,1,2,0,0
McKendree,2022,9,4,1,3,0.25,165.0,169.0,-4.0,41.25,42.25,-1.0,1,3,0,0
McKendree,2023,5,1,0,1,0.0,3.0,35.0,-32.0,3.0,35.0,-32.0,0,1,0,0
McKendree,2023,8,2,0,2,0.0,27.0,91.0,-64.0,13.5,45.5,-32.0,0,2,0,0
McKendree,2023,11,3,1,2,0.3333333333333333,47.0,108.0,-61.0,15.666666666666666,36.0,-20.333333333333332,1,2,0,0
McKendree,2024,6,1,1,0,1.0,22.0,15.0,7.0,22.0,15.0,7.0,1,0,0,0
McKendree,2024,7,2,1,1,0.5,32.0,49.0,-17.0,16.0,24.5,-8.5,1,1,0,0
McKendree,2024,8,3,2,1,0.6666666666666666,69.0,63.0,6.0,23.0,21.0,2.0,2,1,0,0
McKendree,2024,11,4,2,2,0.5,103.0,105.0,-2.0,25.75,26.25,-0.5,2,2,0,0
McMurry,2022,2,1,0,1,0.0,9.0,26.0,-17.0,9.0,26.0,-17.0,0,1,0,0
McMurry,2022,3,2,0,2,0.0,22.0,53.0,-31.0,11.0,26.5,-15.5,0,2,0,0
McMurry,2022,5,3,0,3,0.0,29.0,81.0,-52.0,9.666666666666666,27.0,-17.333333333333332,0,3,0,0
McMurry,2022,8,4,0,4,0.0,42.0,126.0,-84.0,10.5,31.5,-21.0,0,4,0,0
McMurry,2023,5,1,0,1,0.0,19.0,20.0,-1.0,19.0,20.0,-1.0,0,1,0,0
McMurry,2023,6,2,1,1,0.5,71.0,34.0,37.0,35.5,17.0,18.5,1,1,0,0
McMurry,2023,8,3,1,2,0.3333333333333333,87.0,53.0,34.0,29.0,17.666666666666668,11.333333333333334,1,2,0,0
McMurry,2023,9,4,2,2,0.5,132.0,74.0,58.0,33.0,18.5,14.5,2,2,0,0
McMurry,2023,11,5,3,2,0.6,183.0,87.0,96.0,36.6,17.4,19.2,3,2,0,0
McMurry,2024,4,1,1,0,1.0,48.0,6.0,42.0,48.0,6.0,42.0,1,0,0,0
McMurry,2024,8,2,2,0,1.0,79.0,16.0,63.0,39.5,8.0,31.5,2,0,0,0
McMurry,2024,10,3,2,1,0.6666666666666666,91.0,33.0,58.0,30.333333333333332,11.0,19.333333333333332,2,1,0,0
McMurry,2024,12,4,3,1,0.75,122.0,36.0,86.0,30.5,9.0,21.5,3,1,0,0
McNeese,2022,4,1,0,1,0.0,19.0,30.0,-11.0,19.0,30.0,-11.0,0,1,0,0
McNeese,2022,7,2,1,1,0.5,51.0,47.0,4.0,25.5,23.5,2.0,1,1,0,0
McNeese,2022,9,3,1,2,0.3333333333333333,66.0,87.0,-21.0,22.0,29.0,-7.0,1,2,0,0
McNeese,2022,10,4,1,3,0.25,93.0,115.0,-22.0,23.25,28.75,-5.5,1,3,0,0
McNeese,2022,12,5,2,3,0.4,122.0,130.0,-8.0,24.4,26.0,-1.6,2,3,0,0
McNeese,2023,5,1,0,1,0.0,34.0,52.0,-18.0,34.0,52.0,-18.0,0,1,0,0
McNeese,2023,8,2,0,2,0.0,44.0,83.0,-39.0,22.0,41.5,-19.5,0,2,0,0
McNeese,2023,9,3,0,3,0.0,68.0,118.0,-50.0,22.666666666666668,39.333333333333336,-16.666666666666668,0,3,0,0
McNeese,2023,11,4,1,3,0.25,69.0,118.0,-49.0,17.25,29.5,-12.25,1,3,0,0
McNeese,2024,3,1,1,0,1.0,21.0,7.0,14.0,21.0,7.0,14.0,1,0,0,0
McNeese,2024,4,2,2,0,1.0,49.0,31.0,18.0,24.5,15.5,9.0,2,0,0,0
McNeese,2024,10,3,3,0,1.0,91.0,45.0,46.0,30.333333333333332,15.0,15.333333333333334,3,0,0,0
McNeese,2024,13,4,4,0,1.0,122.0,48.0,74.0,30.5,12.0,18.5,4,0,0,0
Memphis,2022,4,1,1,0,1.0,44.0,32.0,12.0,44.0,32.0,12.0,1,0,0,0
Memphis,2022,5,2,2,0,1.0,88.0,66.0,22.0,44.0,33.0,11.0,2,0,0,0
Memphis,2022,6,3,3,0,1.0,112.0,69.0,43.0,37.333333333333336,23.0,14.333333333333334,3,0,0,0
Memphis,2022,10,4,3,1,0.75,144.0,102.0,42.0,36.0,25.5,10.5,3,1,0,0
Memphis,2022,11,5,3,2,0.6,172.0,137.0,35.0,34.4,27.4,7.0,3,2,0,0
Memphis,2022,12,6,4,2,0.6666666666666666,198.0,147.0,51.0,33.0,24.5,8.5,4,2,0,0
Memphis,2023,3,1,1,0,1.0,56.0,14.0,42.0,56.0,14.0,42.0,1,0,0,0
Memphis,2023,5,2,2,0,1.0,84.0,38.0,46.0,42.0,19.0,23.0,2,0,0,0
Memphis,2023,7,3,3,0,1.0,119.0,70.0,49.0,39.666666666666664,23.333333333333332,16.333333333333332,3,0,0,0
Memphis,2023,10,4,3,1,0.75,140.0,101.0,39.0,35.0,25.25,9.75,3,1,0,0
Memphis,2023,12,5,4,1,0.8,199.0,151.0,48.0,39.8,30.2,9.6,4,1,0,0
Memphis,2024,2,1,1,0,1.0,40.0,0.0,40.0,40.0,0.0,40.0,1,0,0,0
Memphis,2024,5,2,2,0,1.0,78.0,17.0,61.0,39.0,8.5,30.5,2,0,0,0
Memphis,2024,8,3,3,0,1.0,102.0,24.0,78.0,34.0,8.0,26.0,3,0,0,0
Memphis,2024,9,4,4,0,1.0,154.0,68.0,86.0,38.5,17.0,21.5,4,0,0,0
Memphis,2024,11,5,5,0,1.0,187.0,96.0,91.0,37.4,19.2,18.2,5,0,0,0
Memphis,2024,12,6,6,0,1.0,214.0,116.0,98.0,35.666666666666664,19.333333333333332,16.333333333333332,6,0,0,0
Mercer,2022,3,1,1,0,1.0,63.0,13.0,50.0,63.0,13.0,50.0,1,0,0,0
Mercer,2022,6,2,2,0,1.0,80.0,13.0,67.0,40.0,6.5,33.5,2,0,0,0
Mercer,2022,7,3,3,0,1.0,129.0,19.0,110.0,43.0,6.333333333333333,36.666666666666664,3,0,0,0
Mercer,2022,11,4,4,0,1.0,184.0,52.0,132.0,46.0,13.0,33.0,4,0,0,0
Mercer,2023,2,1,1,0,1.0,17.0,7.0,10.0,17.0,7.0,10.0,1,0,0,0
Mercer,2023,5,2,2,0,1.0,65.0,29.0,36.0,32.5,14.5,18.0,2,0,0,0
Mercer,2023,7,3,3,0,1.0,103.0,32.0,71.0,34.333333333333336,10.666666666666666,23.666666666666668,3,0,0,0
Mercer,2023,8,4,3,1,0.75,113.0,54.0,59.0,28.25,13.5,14.75,3,1,0,0
Mercer,2023,11,5,4,1,0.8,144.0,71.0,73.0,28.8,14.2,14.6,4,1,0,0
Mercer,2023,13,6,5,1,0.8333333333333334,172.0,92.0,80.0,28.666666666666668,15.333333333333334,13.333333333333334,5,1,0,0
Mercer,2024,4,1,1,0,1.0,63.0,10.0,53.0,63.0,10.0,53.0,1,0,0,0
Mercer,2024,7,2,2,0,1.0,101.0,31.0,70.0,50.5,15.5,35.0,2,0,0,0
Mercer,2024,9,3,3,0,1.0,135.0,38.0,97.0,45.0,12.666666666666666,32.333333333333336,3,0,0,0
Mercer,2024,10,4,4,0,1.0,179.0,72.0,107.0,44.75,18.0,26.75,4,0,0,0
Mercer,2024,13,5,5,0,1.0,216.0,103.0,113.0,43.2,20.6,22.6,5,0,0,0
Mercer,2024,15,6,6,0,1.0,265.0,126.0,139.0,44.166666666666664,21.0,23.166666666666668,6,0,0,0
Merchant Marine Academy,2022,3,1,0,1,0.0,7.0,17.0,-10.0,7.0,17.0,-10.0,0,1,0,0
Merchant Marine Academy,2022,6,2,1,1,0.5,55.0,30.0,25.0,27.5,15.0,12.5,1,1,0,0
Merchant Marine Academy,2022,9,3,2,1,0.6666666666666666,74.0,37.0,37.0,24.666666666666668,12.333333333333334,12.333333333333334,2,1,0,0
Merchant Marine Academy,2022,11,4,2,2,0.5,87.0,64.0,23.0,21.75,16.0,5.75,2,2,0,0
Merchant Marine Academy,2023,4,1,1,0,1.0,30.0,13.0,17.0,30.0,13.0,17.0,1,0,0,0
Merchant Marine Academy,2023,7,2,2,0,1.0,66.0,32.0,34.0,33.0,16.0,17.0,2,0,0,0
Merchant Marine Academy,2023,8,3,3,0,1.0,94.0,46.0,48.0,31.333333333333332,15.333333333333334,16.0,3,0,0,0
Merchant Marine Academy,2024,6,1,1,0,1.0,44.0,27.0,17.0,44.0,27.0,17.0,1,0,0,0
Merchant Marine Academy,2024,8,2,1,1,0.5,72.0,58.0,14.0,36.0,29.0,7.0,1,1,0,0
Merchant Marine Academy,2024,11,3,2,1,0.6666666666666666,121.0,65.0,56.0,40.333333333333336,21.666666666666668,18.666666666666668,2,1,0,0
Merchant Marine Academy,2024,12,4,2,2,0.5,128.0,107.0,21.0,32.0,26.75,5.25,2,2,0,0
Mercyhurst,2022,5,1,0,1,0.0,31.0,50.0,-19.0,31.0,50.0,-19.0,0,1,0,0
Mercyhurst,2022,7,2,0,2,0.0,44.0,66.0,-22.0,22.0,33.0,-11.0,0,2,0,0
Mercyhurst,2022,9,3,0,3,0.0,65.0,89.0,-24.0,21.666666666666668,29.666666666666668,-8.0,0,3,0,0
Mercyhurst,2022,11,4,0,4,0.0,85.0,133.0,-48.0,21.25,33.25,-12.0,0,4,0,0
Mercyhurst,2023,4,1,1,0,1.0,41.0,29.0,12.0,41.0,29.0,12.0,1,0,0,0
Mercyhurst,2023,6,2,1,1,0.5,54.0,59.0,-5.0,27.0,29.5,-2.5,1,1,0,0
Mercyhurst,2023,8,3,1,2,0.3333333333333333,85.0,134.0,-49.0,28.333333333333332,44.666666666666664,-16.333333333333332,1,2,0,0
Mercyhurst,2023,10,4,1,3,0.25,113.0,165.0,-52.0,28.25,41.25,-13.0,1,3,0,0
Mercyhurst,2024,6,1,0,1,0.0,24.0,25.0,-1.0,24.0,25.0,-1.0,0,1,0,0
Mercyhurst,2024,11,2,1,1,0.5,79.0,25.0,54.0,39.5,12.5,27.0,1,1,0,0
Mercyhurst,2024,13,3,2,1,0.6666666666666666,145.0,25.0,120.0,48.333333333333336,8.333333333333334,40.0,2,1,0,0
Merrimack,2022,2,1,0,1,0.0,17.0,31.0,-14.0,17.0,31.0,-14.0,0,1,0,0
Merrimack,2022,5,2,1,1,0.5,62.0,48.0,14.0,31.0,24.0,7.0,1,1,0,0
Merrimack,2022,7,3,2,1,0.6666666666666666,86.0,71.0,15.0,28.666666666666668,23.666666666666668,5.0,2,1,0,0
Merrimack,2022,8,4,3,1,0.75,140.0,88.0,52.0,35.0,22.0,13.0,3,1,0,0
Merrimack,2022,12,5,4,1,0.8,171.0,113.0,58.0,34.2,22.6,11.6,4,1,0,0
Merrimack,2023,3,1,0,1,0.0,12.0,14.0,-2.0,12.0,14.0,-2.0,0,1,0,0
Merrimack,2023,6,2,1,1,0.5,56.0,14.0,42.0,28.0,7.0,21.0,1,1,0,0
Merrimack,2023,11,3,2,1,0.6666666666666666,101.0,48.0,53.0,33.666666666666664,16.0,17.666666666666668,2,1,0,0
Merrimack,2023,12,4,3,1,0.75,136.0,72.0,64.0,34.0,18.0,16.0,3,1,0,0
Merrimack,2024,5,1,0,1,0.0,15.0,26.0,-11.0,15.0,26.0,-11.0,0,1,0,0
Merrimack,2024,8,2,0,2,0.0,29.0,42.0,-13.0,14.5,21.0,-6.5,0,2,0,0
Merrimack,2024,9,3,1,2,0.3333333333333333,77.0,70.0,7.0,25.666666666666668,23.333333333333332,2.3333333333333335,1,2,0,0
Merrimack,2024,12,4,2,2,0.5,128.0,87.0,41.0,32.0,21.75,10.25,2,2,0,0
Methodist,2022,3,1,0,1,0.0,10.0,27.0,-17.0,10.0,27.0,-17.0,0,1,0,0
Methodist,2022,5,2,0,2,0.0,24.0,64.0,-40.0,12.0,32.0,-20.0,0,2,0,0
Methodist,2022,8,3,0,3,0.0,51.0,98.0,-47.0,17.0,32.666666666666664,-15.666666666666666,0,3,0,0
Methodist,2022,10,4,0,4,0.0,86.0,136.0,-50.0,21.5,34.0,-12.5,0,4,0,0
Methodist,2023,4,1,0,1,0.0,21.0,39.0,-18.0,21.0,39.0,-18.0,0,1,0,0
Methodist,2023,7,2,1,1,0.5,48.0,60.0,-12.0,24.0,30.0,-6.0,1,1,0,0
Methodist,2023,9,3,1,2,0.3333333333333333,68.0,112.0,-44.0,22.666666666666668,37.333333333333336,-14.666666666666666,1,2,0,0
Methodist,2023,10,4,1,3,0.25,71.0,139.0,-68.0,17.75,34.75,-17.0,1,3,0,0
Methodist,2024,4,1,0,1,0.0,14.0,33.0,-19.0,14.0,33.0,-19.0,0,1,0,0
Methodist,2024,7,2,1,1,0.5,31.0,47.0,-16.0,15.5,23.5,-8.0,1,1,0,0
Methodist,2024,8,3,1,2,0.3333333333333333,31.0,89.0,-58.0,10.333333333333334,29.666666666666668,-19.333333333333332,1,2,0,0
Methodist,2024,12,4,1,3,0.25,48.0,110.0,-62.0,12.0,27.5,-15.5,1,3,0,0
Miami,2022,2,1,1,0,1.0,70.0,13.0,57.0,70.0,13.0,57.0,1,0,0,0
Miami,2022,4,2,2,0,1.0,100.0,20.0,80.0,50.0,10.0,40.0,2,0,0,0
Miami,2022,6,3,2,1,0.6666666666666666,131.0,65.0,66.0,43.666666666666664,21.666666666666668,22.0,2,1,0,0
Miami,2022,8,4,2,2,0.5,155.0,92.0,63.0,38.75,23.0,15.75,2,2,0,0
Miami,2022,10,5,2,3,0.4,176.0,137.0,39.0,35.2,27.4,7.8,2,3,0,0
Miami,2022,13,6,2,4,0.3333333333333333,179.0,182.0,-3.0,29.833333333333332,30.333333333333332,-0.5,2,4,0,0
Miami,2023,2,2,1,1,0.5,62.0,34.0,28.0,31.0,17.0,14.0,1,1,0,0
Miami,2023,3,3,2,1,0.6666666666666666,110.0,67.0,43.0,36.666666666666664,22.333333333333332,14.333333333333334,2,1,0,0
Miami,2023,6,4,3,1,0.75,158.0,74.0,84.0,39.5,18.5,21.0,3,1,0,0
Miami,2023,8,5,3,2,0.6,178.0,97.0,81.0,35.6,19.4,16.2,3,2,0,0
Miami,2023,9,6,4,2,0.6666666666666666,206.0,117.0,89.0,34.333333333333336,19.5,14.833333333333334,4,2,0,0
Miami,2023,12,7,5,2,0.7142857142857143,235.0,143.0,92.0,33.57142857142857,20.428571428571427,13.142857142857142,5,2,0,0
Miami,2024,2,1,0,1,0.0,41.0,42.0,-1.0,41.0,42.0,-1.0,0,1,0,0
Miami,2024,3,2,1,1,0.5,97.0,51.0,46.0,48.5,25.5,23.0,1,1,0,0
Miami,2024,5,3,2,1,0.6666666666666666,159.0,51.0,108.0,53.0,17.0,36.0,2,1,0,0
Miami,2024,9,4,3,1,0.75,197.0,85.0,112.0,49.25,21.25,28.0,3,1,0,0
Miami,2024,10,5,4,1,0.8,233.0,99.0,134.0,46.6,19.8,26.8,4,1,0,0
Miami,2024,13,6,5,1,0.8333333333333334,286.0,130.0,156.0,47.666666666666664,21.666666666666668,26.0,5,1,0,0
Miami (OH),2022,3,1,1,0,1.0,31.0,14.0,17.0,31.0,14.0,17.0,1,0,0,0
Miami (OH),2022,6,2,1,1,0.5,48.0,52.0,-4.0,24.0,26.0,-2.0,1,1,0,0
Miami (OH),2022,8,3,2,1,0.6666666666666666,75.0,76.0,-1.0,25.0,25.333333333333332,-0.3333333333333333,2,1,0,0
Miami (OH),2022,11,4,2,2,0.5,85.0,92.0,-7.0,21.25,23.0,-1.75,2,2,0,0
Miami (OH),2022,13,5,2,3,0.4,106.0,129.0,-23.0,21.2,25.8,-4.6,2,3,0,0
Miami (OH),2023,6,1,1,0,1.0,62.0,20.0,42.0,62.0,20.0,42.0,1,0,0,0
Miami (OH),2023,8,2,2,0,1.0,89.0,20.0,69.0,44.5,10.0,34.5,2,0,0,0
Miami (OH),2023,11,3,2,1,0.6666666666666666,106.0,41.0,65.0,35.333333333333336,13.666666666666666,21.666666666666668,2,1,0,0
Miami (OH),2023,12,4,3,1,0.75,125.0,41.0,84.0,31.25,10.25,21.0,3,1,0,0
Miami (OH),2024,5,1,0,1,0.0,16.0,27.0,-11.0,16.0,27.0,-11.0,0,1,0,0
Miami (OH),2024,8,2,1,1,0.5,39.0,47.0,-8.0,19.5,23.5,-4.0,1,1,0,0
Miami (OH),2024,9,3,2,1,0.6666666666666666,69.0,67.0,2.0,23.0,22.333333333333332,0.6666666666666666,2,1,0,0
Miami (OH),2024,12,4,3,1,0.75,115.0,74.0,41.0,28.75,18.5,10.25,3,1,0,0
Miami (OH),2024,13,5,4,1,0.8,149.0,81.0,68.0,29.8,16.2,13.6,4,1,0,0
Miami (OH),2024,15,6,5,1,0.8333333333333334,169.0,90.0,79.0,28.166666666666668,15.0,13.166666666666666,5,1,0,0
Michigan,2022,2,2,1,1,0.5,96.0,58.0,38.0,48.0,29.0,19.0,1,1,0,0
Michigan,2022,3,3,2,1,0.6666666666666666,152.0,68.0,84.0,50.666666666666664,22.666666666666668,28.0,2,1,0,0
Michigan,2022,4,4,3,1,0.75,211.0,68.0,143.0,52.75,17.0,35.75,3,1,0,0
Michigan,2022,7,5,4,1,0.8,245.0,95.0,150.0,49.0,19.0,30.0,4,1,0,0
Michigan,2022,9,6,5,1,0.8333333333333334,286.0,112.0,174.0,47.666666666666664,18.666666666666668,29.0,5,1,0,0
Michigan,2022,11,7,6,1,0.8571428571428571,315.0,119.0,196.0,45.0,17.0,28.0,6,1,0,0
Michigan,2022,12,8,7,1,0.875,349.0,122.0,227.0,43.625,15.25,28.375,7,1,0,0
Michigan,2022,14,9,8,1,0.8888888888888888,368.0,139.0,229.0,40.888888888888886,15.444444444444445,25.444444444444443,8,1,0,0
Michigan,2023,2,3,3,0,1.0,91.0,36.0,55.0,30.333333333333332,12.0,18.333333333333332,3,0,0,0
Michigan,2023,3,4,4,0,1.0,126.0,43.0,83.0,31.5,10.75,20.75,4,0,0,0
Michigan,2023,4,5,5,0,1.0,157.0,49.0,108.0,31.4,9.8,21.6,5,0,0,0
Michigan,2023,7,6,6,0,1.0,188.0,56.0,132.0,31.333333333333332,9.333333333333334,22.0,6,0,0,0
Michigan,2023,10,7,7,0,1.0,240.0,63.0,177.0,34.285714285714285,9.0,25.285714285714285,7,0,0,0
Michigan,2023,13,8,8,0,1.0,281.0,76.0,205.0,35.125,9.5,25.625,8,0,0,0
Michigan,2024,2,2,2,0,1.0,49.0,23.0,26.0,24.5,11.5,13.0,2,0,0,0
Michigan,2024,3,3,2,1,0.6666666666666666,61.0,54.0,7.0,20.333333333333332,18.0,2.3333333333333335,2,1,0,0
Michigan,2024,4,4,3,1,0.75,89.0,72.0,17.0,22.25,18.0,4.25,3,1,0,0
Michigan,2024,5,5,4,1,0.8,116.0,96.0,20.0,23.2,19.2,4.0,4,1,0,0
Michigan,2024,9,6,5,1,0.8333333333333334,143.0,120.0,23.0,23.833333333333332,20.0,3.8333333333333335,5,1,0,0
Michigan,2024,10,7,6,1,0.8571428571428571,167.0,137.0,30.0,23.857142857142858,19.571428571428573,4.285714285714286,6,1,0,0
Michigan,2024,13,8,6,2,0.75,184.0,175.0,9.0,23.0,21.875,1.125,6,2,0,0
Michigan State,2022,2,1,1,0,1.0,35.0,13.0,22.0,35.0,13.0,22.0,1,0,0,0
Michigan State,2022,4,2,2,0,1.0,87.0,13.0,74.0,43.5,6.5,37.0,2,0,0,0
Michigan State,2022,6,3,2,1,0.6666666666666666,94.0,47.0,47.0,31.333333333333332,15.666666666666666,15.666666666666666,2,1,0,0
Michigan State,2022,7,4,2,2,0.5,114.0,96.0,18.0,28.5,24.0,4.5,2,2,0,0
Michigan State,2022,11,5,3,2,0.6,148.0,124.0,24.0,29.6,24.8,4.8,3,2,0,0
Michigan State,2022,12,6,4,2,0.6666666666666666,175.0,145.0,30.0,29.166666666666668,24.166666666666668,5.0,4,2,0,0
Michigan State,2023,2,1,1,0,1.0,31.0,7.0,24.0,31.0,7.0,24.0,1,0,0,0
Michigan State,2023,3,2,2,0,1.0,76.0,21.0,55.0,38.0,10.5,27.5,2,0,0,0
Michigan State,2023,4,3,2,1,0.6666666666666666,83.0,62.0,21.0,27.666666666666668,20.666666666666668,7.0,2,1,0,0
Michigan State,2023,8,4,2,2,0.5,92.0,93.0,-1.0,23.0,23.25,-0.25,2,2,0,0
Michigan State,2023,10,5,2,3,0.4,92.0,142.0,-50.0,18.4,28.4,-10.0,2,3,0,0
Michigan State,2023,13,6,3,3,0.5,112.0,159.0,-47.0,18.666666666666668,26.5,-7.833333333333333,3,3,0,0
Michigan State,2024,3,1,1,0,1.0,16.0,10.0,6.0,16.0,10.0,6.0,1,0,0,0
Michigan State,2024,5,2,2,0,1.0,56.0,10.0,46.0,28.0,5.0,23.0,2,0,0,0
Michigan State,2024,8,3,2,1,0.6666666666666666,63.0,48.0,15.0,21.0,16.0,5.0,2,1,0,0
Michigan State,2024,10,4,3,1,0.75,95.0,68.0,27.0,23.75,17.0,6.75,3,1,0,0
Michigan State,2024,13,5,3,2,0.6,105.0,115.0,-10.0,21.0,23.0,-2.0,3,2,0,0
Michigan State,2024,14,6,4,2,0.6666666666666666,129.0,132.0,-3.0,21.5,22.0,-0.5,4,2,0,0
Michigan Tech,2022,4,1,1,0,1.0,23.0,13.0,10.0,23.0,13.0,10.0,1,0,0,0
Michigan Tech,2022,6,2,1,1,0.5,36.0,48.0,-12.0,18.0,24.0,-6.0,1,1,0,0
Michigan Tech,2022,7,3,2,1,0.6666666666666666,71.0,82.0,-11.0,23.666666666666668,27.333333333333332,-3.6666666666666665,2,1,0,0
Michigan Tech,2022,9,4,3,1,0.75,92.0,89.0,3.0,23.0,22.25,0.75,3,1,0,0
Michigan Tech,2023,5,1,1,0,1.0,45.0,20.0,25.0,45.0,20.0,25.0,1,0,0,0
Michigan Tech,2023,8,2,1,1,0.5,45.0,48.0,-3.0,22.5,24.0,-1.5,1,1,0,0
Michigan Tech,2023,10,3,1,2,0.3333333333333333,66.0,83.0,-17.0,22.0,27.666666666666668,-5.666666666666667,1,2,0,0
Michigan Tech,2023,11,4,2,2,0.5,103.0,86.0,17.0,25.75,21.5,4.25,2,2,0,0
Michigan Tech,2024,3,1,1,0,1.0,52.0,50.0,2.0,52.0,50.0,2.0,1,0,0,0
Michigan Tech,2024,6,2,2,0,1.0,73.0,56.0,17.0,36.5,28.0,8.5,2,0,0,0
Michigan Tech,2024,7,3,3,0,1.0,95.0,63.0,32.0,31.666666666666668,21.0,10.666666666666666,3,0,0,0
Michigan Tech,2024,9,4,3,1,0.75,115.0,87.0,28.0,28.75,21.75,7.0,3,1,0,0
Michigan Tech,2024,11,5,4,1,0.8,154.0,96.0,58.0,30.8,19.2,11.6,4,1,0,0
Middle Tennessee,2022,5,1,1,0,1.0,49.0,6.0,43.0,49.0,6.0,43.0,1,0,0,0
Middle Tennessee,2022,7,2,1,1,0.5,79.0,51.0,28.0,39.5,25.5,14.0,1,1,0,0
Middle Tennessee,2022,11,3,1,2,0.3333333333333333,96.0,86.0,10.0,32.0,28.666666666666668,3.3333333333333335,1,2,0,0
Middle Tennessee,2022,12,4,2,2,0.5,120.0,100.0,20.0,30.0,25.0,5.0,2,2,0,0
Middle Tennessee,2023,4,1,1,0,1.0,35.0,14.0,21.0,35.0,14.0,21.0,1,0,0,0
Middle Tennessee,2023,6,2,1,1,0.5,58.0,45.0,13.0,29.0,22.5,6.5,1,1,0,0
Middle Tennessee,2023,7,3,1,2,0.3333333333333333,88.0,90.0,-2.0,29.333333333333332,30.0,-0.6666666666666666,1,2,0,0
Middle Tennessee,2023,11,4,2,2,0.5,119.0,113.0,6.0,29.75,28.25,1.5,2,2,0,0
Middle Tennessee,2023,12,5,3,2,0.6,159.0,119.0,40.0,31.8,23.8,8.0,3,2,0,0
Middle Tennessee,2024,3,1,1,0,1.0,32.0,25.0,7.0,32.0,25.0,7.0,1,0,0,0
Middle Tennessee,2024,4,2,1,1,0.5,53.0,74.0,-21.0,26.5,37.0,-10.5,1,1,0,0
Middle Tennessee,2024,8,3,1,2,0.3333333333333333,70.0,119.0,-49.0,23.333333333333332,39.666666666666664,-16.333333333333332,1,2,0,0
Middle Tennessee,2024,11,4,2,2,0.5,84.0,124.0,-40.0,21.0,31.0,-10.0,2,2,0,0
Middle Tennessee,2024,13,5,2,3,0.4,101.0,161.0,-60.0,20.2,32.2,-12.0,2,3,0,0
Middlebury,2022,6,1,1,0,1.0,24.0,10.0,14.0,24.0,10.0,14.0,1,0,0,0
Middlebury,2022,7,2,2,0,1.0,54.0,17.0,37.0,27.0,8.5,18.5,2,0,0,0
Middlebury,2022,9,3,2,1,0.6666666666666666,75.0,44.0,31.0,25.0,14.666666666666666,10.333333333333334,2,1,0,0
Middlebury,2022,10,4,3,1,0.75,95.0,61.0,34.0,23.75,15.25,8.5,3,1,0,0
Middlebury,2023,5,1,1,0,1.0,21.0,7.0,14.0,21.0,7.0,14.0,1,0,0,0
Middlebury,2023,8,2,2,0,1.0,55.0,34.0,21.0,27.5,17.0,10.5,2,0,0,0
Middlebury,2023,11,3,3,0,1.0,103.0,41.0,62.0,34.333333333333336,13.666666666666666,20.666666666666668,3,0,0,0
Middlebury,2024,5,1,0,1,0.0,7.0,43.0,-36.0,7.0,43.0,-36.0,0,1,0,0
Middlebury,2024,7,2,1,1,0.5,31.0,59.0,-28.0,15.5,29.5,-14.0,1,1,0,0
