team,outgoing_transfers,incoming_transfers,net_transfers,avg_outgoing_stars,avg_incoming_stars,high_star_outgoing,high_star_incoming
Utah,24,11,-13,3.0952380952380953,3.272727272727273,4,3
Hillsdale College,3,1,-2,3.0,,0,0
Heidelberg,1,0,-1,,0.0,0,0
Northern Arizona,9,9,0,2.6666666666666665,2.75,0,0
SMU,16,20,4,3.142857142857143,3.0526315789473686,2,1
USC,29,16,-13,3.259259259259259,3.1875,8,5
Yale,5,0,-5,2.8,0.0,0,0
Bowling Green,15,13,-2,3.1,3.0,1,0
Cincinnati,32,24,-8,3.0,3.0434782608695654,1,1
LSU,27,10,-17,3.25,3.3333333333333335,7,3
Central Michigan,16,6,-10,2.6923076923076925,3.0,0,0
Wyoming,13,3,-10,2.75,3.0,0,0
Marist,1,1,0,,2.0,0,0
Auburn,23,15,-8,3.0,3.1333333333333333,0,2
UCLA,20,21,1,3.15,3.125,4,2
Troy,23,10,-13,3.0,3.0,0,1
Oregon State,25,16,-9,3.2916666666666665,3.0,8,0
Florida,23,15,-8,3.1904761904761907,3.4,4,6
Marshall,33,28,-5,2.8275862068965516,3.0,1,0
Navy,6,0,-6,2.5,0.0,0,0
UNLV,19,19,0,2.9411764705882355,3.0555555555555554,1,1
Coastal Carolina,29,18,-11,2.88,3.0625,1,1
Miami,28,14,-14,3.1923076923076925,3.4285714285714284,5,6
Louisiana Tech,22,12,-10,3.0,3.0,2,0
San Diego,2,3,1,2.0,2.5,0,0
Alabama,38,14,-24,3.6129032258064515,3.642857142857143,16,8
Toledo,11,7,-4,2.8181818181818183,3.0,1,0
Alabama State,5,3,-2,3.0,3.0,0,0
Montana,3,9,6,3.0,3.0,0,0
App State,21,15,-6,2.823529411764706,3.0,0,0
Furman,6,2,-4,3.0,3.0,0,0
Akron,22,15,-7,2.8095238095238093,2.9285714285714284,0,0
Lenoir-Rhyne,1,2,1,,3.0,0,0
SE Louisiana,4,1,-3,3.3333333333333335,2.0,1,0
Penn State,13,6,-7,3.1666666666666665,3.4,2,2
North Dakota State,2,2,0,3.0,2.5,0,0
Eastern Kentucky,4,3,-1,3.0,3.0,0,0
Mercer,2,7,5,3.0,2.6,0,0
Southern Illinois,4,6,2,2.75,2.6666666666666665,0,0
West Georgia,2,3,1,3.0,2.6666666666666665,0,0
Rutgers,15,6,-9,2.909090909090909,3.0,0,1
Arkansas-Pine Bluff,3,3,0,3.0,3.0,0,0
Saint Anselm,2,0,-2,3.0,0.0,0,0
James Madison,23,26,3,3.0555555555555554,2.9545454545454546,1,0
Villanova,4,0,-4,3.0,0.0,0,0
Dartmouth,5,0,-5,3.0,0.0,0,0
St. Thomas,1,0,-1,3.0,0.0,0,0
Valdosta State,2,3,1,3.0,2.6666666666666665,0,0
Southern Miss,7,17,10,2.8,3.0,0,0
Towson,2,3,1,3.0,3.0,0,0
Oregon,20,14,-6,3.2222222222222223,3.5714285714285716,4,7
West Virginia State,1,0,-1,3.0,0.0,0,0
Northern Illinois,19,6,-13,2.6,3.0,1,0
Campbell,7,7,0,2.8,2.8,0,0
Gardner-Webb,7,12,5,3.0,3.0,0,1
Miami (OH),11,5,-6,2.909090909090909,3.0,1,0
Elon,5,3,-2,3.0,3.0,0,0
Stanford,14,4,-10,3.0,2.75,1,0
Wofford,2,3,1,2.0,3.0,0,0
Indiana State,5,4,-1,2.6666666666666665,3.0,0,0
New Mexico State,40,13,-27,2.9411764705882355,2.9166666666666665,1,0
Grand Valley State University,3,2,-1,3.0,3.0,0,0
Gannon,2,0,-2,3.0,0.0,0,0
VMI,4,0,-4,3.0,0.0,0,0
Pennsylvania,5,1,-4,3.2,3.0,1,0
Brown,3,0,-3,2.5,0.0,0,0
Houston Christian,4,4,0,3.0,2.5,0,0
Old Dominion,32,15,-17,2.9642857142857144,3.0,2,0
Missouri,19,15,-4,3.0,3.2,0,4
Georgia Southern,19,12,-7,2.727272727272727,3.0,1,1
Maryland,13,8,-5,3.3333333333333335,3.0,4,0
Florida Atlantic,34,20,-14,2.96875,2.9473684210526314,0,0
South Alabama,16,15,-1,3.076923076923077,2.9285714285714284,3,0
Mississippi Valley State,3,0,-3,3.0,0.0,0,0
Idaho,8,2,-6,3.142857142857143,2.5,1,0
Boston College,17,10,-7,2.9411764705882355,3.0,0,0
Buffalo,17,17,0,2.8,2.909090909090909,1,0
