season,week,seasonType,gameId,homeTeam,awayTeam,spread,homeWinProbability
2024,11,regular,401643755,Oregon State,San José State,-3.0,0.582
2024,11,regular,401628546,Penn State,Washington,-13.5,0.824
2024,11,regular,401635610,Pittsburgh,Virginia,-7.0,0.685
2024,11,regular,401628544,Rutgers,Minnesota,6.5,0.327
2024,11,regular,401643754,San Diego State,New Mexico,-1.0,0.527
2024,11,regular,401643829,Southern Miss,Marshall,13.5,0.176
2024,11,regular,401645363,South Florida,Navy,4.5,0.378
2024,11,regular,401636920,TCU,Oklahoma State,-10.5,0.766
2024,11,regular,401628416,Tennessee,Mississippi State,-26.5,0.966
2024,11,regular,401628417,Texas,Florida,-22.0,0.935
2024,11,regular,401636921,Texas Tech,Colorado,5.0,0.365
2024,11,regular,401645364,Tulane,Temple,-25.5,0.961
2024,11,regular,401629037,UAB,UConn,7.5,0.302
2024,11,regular,401628542,UCLA,Iowa,6.5,0.327
2024,11,regular,401643828,UL Monroe,Texas State,9.5,0.256
2024,11,regular,401636922,Utah,BYU,3.0,0.418
2024,11,regular,401641021,UTEP,Kennesaw State,-4.5,0.622
2024,11,regular,401628418,Vanderbilt,South Carolina,6.0,0.34
2024,11,regular,401635607,Virginia Tech,Clemson,5.5,0.352
2024,11,regular,401634773,Wake Forest,California,7.0,0.315
2024,11,regular,401643756,Washington State,Utah State,-20.5,0.921
2024,11,regular,401644762,Western Michigan,Northern Illinois,2.0,0.445
2024,12,regular,401643757,Air Force,Oregon State,2.5,0.432
2024,12,regular,401628425,Alabama,Mercer,-42.0,0.998
2024,12,regular,401636923,Arizona,Houston,-1.0,0.527
2024,12,regular,401628419,Arkansas,Texas,12.0,0.204
2024,12,regular,401628426,Auburn,UL Monroe,-24.5,0.954
2024,12,regular,401644764,Bowling Green,Western Michigan,-9.5,0.744
2024,12,regular,401644763,Buffalo,Ball State,-3.0,0.582
2024,12,regular,401636924,BYU,Kansas,-2.0,0.555
2024,12,regular,401635581,California,Syracuse,-10.0,0.755
2024,12,regular,401645368,Charlotte,South Florida,-1.5,0.541
2024,12,regular,401636925,Colorado,Utah,-13.5,0.824
2024,12,regular,401643759,Colorado State,Wyoming,-9.0,0.733
2024,12,regular,401628420,Florida,LSU,3.0,0.418
2024,12,regular,401628421,Georgia,Tennessee,-9.5,0.744
2024,12,regular,401643830,Georgia Southern,Troy,-7.0,0.685
2024,12,regular,401643831,Georgia State,Arkansas State,-3.0,0.582
2024,12,regular,401628547,Illinois,Michigan State,-2.0,0.555
2024,12,regular,401636926,Iowa State,Cincinnati,-7.0,0.685
2024,12,regular,401640986,Jacksonville State,Florida International,-12.5,0.806
2024,12,regular,401636927,Kansas State,Arizona State,-7.5,0.698
2024,12,regular,401641022,Kennesaw State,Sam Houston,21.0,0.074
2024,12,regular,401628422,Kentucky,Murray State,-41.5,0.998
2024,12,regular,401643834,Louisiana,South Alabama,-6.5,0.673
2024,12,regular,401643832,Marshall,Coastal Carolina,-7.5,0.698
2024,12,regular,401628548,Maryland,Rutgers,-4.5,0.622
2024,12,regular,401629046,Massachusetts,Liberty,14.5,0.159
2024,12,regular,401645367,Memphis,UAB,-16.5,0.872
2024,12,regular,401644689,Miami (OH),Kent State,-30.5,0.982
2024,12,regular,401645370,Navy,Tulane,7.0,0.315
2024,12,regular,401643761,New Mexico,Washington State,10.5,0.234
2024,12,regular,401635583,North Carolina,Wake Forest,-10.0,0.755
2024,12,regular,401644766,Northern Illinois,Akron,-14.0,0.833
2024,12,regular,401628550,Northwestern,Ohio State,28.5,0.025
2024,12,regular,401628985,Notre Dame,Virginia,-21.5,0.931
2024,12,regular,401644767,Ohio,Eastern Michigan,-10.5,0.766
2024,12,regular,401643833,Old Dominion,James Madison,2.5,0.432
2024,12,regular,401635582,Pittsburgh,Clemson,11.5,0.214
2024,12,regular,401628552,Purdue,Penn State,30.0,0.019
2024,12,regular,401643758,San José State,Boise State,14.0,0.167
2024,12,regular,401635580,SMU,Boston College,-19.0,0.905
2024,12,regular,401628423,South Carolina,Missouri,-10.5,0.766
2024,12,regular,401635517,Stanford,Louisville,21.0,0.074
2024,12,regular,401645369,Temple,Florida Atlantic,-2.0,0.555
2024,12,regular,401628424,Texas A&M,New Mexico State,-39.5,0.997
2024,12,regular,401643835,Texas State,Southern Miss,-27.5,0.971
2024,12,regular,401644765,Toledo,Central Michigan,-15.0,0.85
2024,12,regular,401645365,Tulsa,East Carolina,16.5,0.128
2024,12,regular,401643762,UNLV,San Diego State,-21.5,0.931
2024,12,regular,401628549,USC,Nebraska,-6.5,0.673
2024,12,regular,401643760,Utah State,Hawai'i,2.5,0.432
2024,12,regular,401645366,UTSA,North Texas,-1.5,0.541
2024,12,regular,401628553,Washington,UCLA,-5.0,0.635
2024,12,regular,401641013,Western Kentucky,Louisiana Tech,-12.5,0.806
2024,12,regular,401636929,West Virginia,Baylor,2.5,0.432
2024,12,regular,401628551,Wisconsin,Oregon,13.5,0.176
2024,13,regular,401643836,App State,James Madison,7.0,0.315
2024,13,regular,401636930,Arizona State,BYU,-3.5,0.595
2024,13,regular,401628427,Arkansas,Louisiana Tech,-23.5,0.947
2024,13,regular,401643839,Arkansas State,UL Monroe,-3.0,0.582
2024,13,regular,401628428,Auburn,Texas A&M,2.5,0.432
2024,13,regular,401644774,Ball State,Bowling Green,12.5,0.194
2024,13,regular,401635612,Boston College,North Carolina,3.0,0.418
2024,13,regular,401635613,California,Stanford,-14.5,0.841
2024,13,regular,401644770,Central Michigan,Western Michigan,6.0,0.34
2024,13,regular,401635614,Clemson,The Citadel,-49.5,1.0
2024,13,regular,401643837,Coastal Carolina,Georgia Southern,-2.0,0.555
2024,13,regular,401635615,Duke,Virginia Tech,2.5,0.432
2024,13,regular,401644772,Eastern Michigan,Buffalo,-1.0,0.527
2024,13,regular,401628429,Florida,Ole Miss,12.5,0.194
2024,13,regular,401645371,Florida Atlantic,Charlotte,3.0,0.418
2024,13,regular,401635616,Florida State,Charleston Southern,-33.0,0.989
2024,13,regular,401643765,Fresno State,Colorado State,-3.0,0.582
2024,13,regular,401628430,Georgia,Massachusetts,-42.0,0.998
2024,13,regular,401634772,Georgia Tech,NC State,-8.5,0.721
2024,13,regular,401636931,Houston,Baylor,7.0,0.315
2024,13,regular,401641005,Jacksonville State,Sam Houston,-5.0,0.635
2024,13,regular,401636932,Kansas,Colorado,2.5,0.432
2024,13,regular,401636933,Kansas State,Cincinnati,-7.5,0.698
2024,13,regular,401640987,Kennesaw State,Florida International,9.0,0.267
2024,13,regular,401644769,Kent State,Akron,10.5,0.234
2024,13,regular,401640996,Liberty,Western Kentucky,-1.0,0.527
2024,13,regular,401643840,Louisiana,Troy,-7.5,0.698
2024,13,regular,401635617,Louisville,Pittsburgh,-7.5,0.698
2024,13,regular,401628431,LSU,Vanderbilt,-9.5,0.744
2024,13,regular,401628556,Maryland,Iowa,4.0,0.391
2024,13,regular,401635618,Miami,Wake Forest,-23.5,0.947
2024,13,regular,401644690,Miami (OH),Northern Illinois,-1.5,0.541
2024,13,regular,401628557,Michigan,Northwestern,-10.5,0.766
2024,13,regular,401628558,Michigan State,Purdue,-14.0,0.833
2024,13,regular,401641027,Middle Tennessee,New Mexico State,-3.0,0.582
2024,13,regular,401628559,Minnesota,Penn State,11.0,0.224
2024,13,regular,401628432,Mississippi State,Missouri,9.5,0.256
2024,13,regular,401628560,Nebraska,Wisconsin,-1.0,0.527
2024,13,regular,401643763,Nevada,Air Force,-2.5,0.568
2024,13,regular,401645372,North Texas,East Carolina,-2.5,0.568
2024,13,regular,401640959,Notre Dame,Army,-14.5,0.841
2024,13,regular,401628555,Ohio State,Indiana,-10.5,0.766
2024,13,regular,401628433,Oklahoma,Alabama,13.5,0.176
2024,13,regular,401636934,Oklahoma State,Texas Tech,5.0,0.365
2024,13,regular,401643838,Old Dominion,Marshall,-3.0,0.582
2024,13,regular,401628572,Oregon State,Washington State,11.0,0.224
2024,13,regular,401628554,Rutgers,Illinois,-2.0,0.555
2024,13,regular,401643767,San José State,UNLV,7.5,0.302
2024,13,regular,401628434,South Carolina,Wofford,-42.5,0.998
2024,13,regular,401643841,Southern Miss,South Alabama,24.0,0.049
2024,13,regular,401645375,South Florida,Tulsa,-17.0,0.879
2024,13,regular,401635518,Syracuse,UConn,-10.0,0.755
2024,13,regular,401636935,TCU,Arizona,-11.0,0.776
2024,13,regular,401628435,Tennessee,UTEP,-41.5,0.998
2024,13,regular,401628436,Texas,Kentucky,-19.0,0.905
2024,13,regular,401643842,Texas State,Georgia State,-23.0,0.944
2024,13,regular,401644773,Toledo,Ohio,-1.5,0.541
2024,13,regular,401645373,UAB,Rice,7.0,0.315
2024,13,regular,401628561,UCLA,USC,4.5,0.378
2024,13,regular,401636936,Utah,Iowa State,6.5,0.327
2024,13,regular,401643766,Utah State,San Diego State,-5.0,0.635
2024,13,regular,401645374,UTSA,Temple,-16.5,0.872
2024,13,regular,401635619,Virginia,SMU,10.5,0.234
2024,13,regular,401636937,West Virginia,UCF,3.0,0.418
2024,13,regular,401643764,Wyoming,Boise State,22.0,0.065
2024,14,regular,401644775,Akron,Toledo,9.5,0.256
2024,14,regular,401628437,Alabama,Auburn,-11.0,0.776
2024,14,regular,401636940,Arizona,Arizona State,7.5,0.302
2024,14,regular,401643847,Arkansas State,Old Dominion,5.5,0.352
2024,14,regular,401645378,Army,UTSA,-6.5,0.673
2024,14,regular,401636941,Baylor,Kansas,-1.0,0.527
2024,14,regular,401643769,Boise State,Oregon State,-18.0,0.893
2024,14,regular,401635620,Boston College,Pittsburgh,-3.5,0.595
2024,14,regular,401644691,Bowling Green,Miami (OH),-2.5,0.568
2024,14,regular,401644776,Buffalo,Kent State,-24.0,0.951
2024,14,regular,401636942,BYU,Houston,-12.0,0.796
2024,14,regular,401645377,Charlotte,UAB,-1.0,0.527
2024,14,regular,401636943,Cincinnati,TCU,2.5,0.432
2024,14,regular,401628444,Clemson,South Carolina,-2.5,0.568
2024,14,regular,401636938,Colorado,Oklahoma State,-16.5,0.872
2024,14,regular,401643770,Colorado State,Utah State,-5.5,0.648
2024,14,regular,401645379,East Carolina,Navy,-2.5,0.568
2024,14,regular,401640988,Florida International,Middle Tennessee,-8.0,0.709
2024,14,regular,401628438,Florida State,Florida,17.0,0.121
2024,14,regular,401628439,Georgia,Georgia Tech,-17.5,0.886
2024,14,regular,401643844,Georgia Southern,App State,-2.5,0.568
2024,14,regular,401643845,Georgia State,Coastal Carolina,1.0,0.473
2024,14,regular,401643771,Hawai'i,New Mexico,4.0,0.391
2024,14,regular,401628564,Indiana,Purdue,-29.0,0.977
2024,14,regular,401628562,Iowa,Nebraska,-3.0,0.582
2024,14,regular,401636944,Iowa State,Kansas State,-1.5,0.541
2024,14,regular,401643846,James Madison,Marshall,-3.5,0.595
2024,14,regular,401628440,Kentucky,Louisville,4.0,0.391
2024,14,regular,401641014,Louisiana Tech,Kennesaw State,-10.5,0.766
2024,14,regular,401628441,LSU,Oklahoma,-6.0,0.66
2024,14,regular,401629038,Massachusetts,UConn,10.5,0.234
2024,14,regular,401628567,Michigan State,Rutgers,-1.5,0.541
2024,14,regular,401628443,Missouri,Arkansas,-3.0,0.582
2024,14,regular,401641031,New Mexico State,UTEP,-3.0,0.582
2024,14,regular,401635624,North Carolina,NC State,-2.0,0.555
2024,14,regular,401644779,Northern Illinois,Central Michigan,-13.5,0.824
2024,14,regular,401628563,Northwestern,Illinois,9.0,0.267
2024,14,regular,401644777,Ohio,Ball State,-17.5,0.886
2024,14,regular,401628566,Ohio State,Michigan,-20.0,0.916
2024,14,regular,401628442,Ole Miss,Mississippi State,-26.0,0.964
2024,14,regular,401628569,Oregon,Washington,-17.5,0.886
2024,14,regular,401628565,Penn State,Maryland,-25.5,0.961
2024,14,regular,401645382,Rice,South Florida,6.0,0.34
2024,14,regular,401640997,Sam Houston,Liberty,2.0,0.445
2024,14,regular,401643768,San Diego State,Air Force,5.5,0.352
2024,14,regular,401635625,San José State,Stanford,-2.5,0.568
2024,14,regular,401635621,SMU,California,-12.5,0.806
2024,14,regular,401643843,South Alabama,Texas State,1.5,0.459
2024,14,regular,401635623,Syracuse,Miami,12.0,0.204
2024,14,regular,401645381,Temple,North Texas,11.0,0.224
2024,14,regular,401628445,Texas A&M,Texas,4.5,0.378
2024,14,regular,401636945,Texas Tech,West Virginia,-3.0,0.582
2024,14,regular,401643849,Troy,Southern Miss,-17.5,0.886
2024,14,regular,401645376,Tulane,Memphis,-13.5,0.824
2024,14,regular,401645380,Tulsa,Florida Atlantic,-1.0,0.527
2024,14,regular,401636939,UCF,Utah,-10.0,0.755
2024,14,regular,401628570,UCLA,Fresno State,-7.5,0.698
2024,14,regular,401643848,UL Monroe,Louisiana,10.0,0.245
2024,14,regular,401643772,UNLV,Nevada,-17.5,0.886
2024,14,regular,401628571,USC,Notre Dame,7.0,0.315
2024,14,regular,401628446,Vanderbilt,Tennessee,10.5,0.234
2024,14,regular,401635640,Virginia Tech,Virginia,-4.5,0.622
2024,14,regular,401635622,Wake Forest,Duke,3.5,0.405
2024,14,regular,401643773,Washington State,Wyoming,-18.5,0.899
2024,14,regular,401641006,Western Kentucky,Jacksonville State,1.0,0.473
2024,14,regular,401644780,Western Michigan,Eastern Michigan,-6.5,0.673
2024,14,regular,401628568,Wisconsin,Minnesota,1.0,0.473
2024,15,regular,401673465,Arizona State,Iowa State,-1.5,0.541
2024,15,regular,401673462,Army,Tulane,5.0,0.365
2024,15,regular,401673468,Boise State,UNLV,-4.0,0.609
2024,15,regular,401673466,Jacksonville State,Western Kentucky,-4.0,0.609
2024,15,regular,401673470,Louisiana,Marshall,-5.0,0.635
2024,15,regular,401673467,Miami (OH),Ohio,-2.5,0.568
2024,15,regular,401673464,Oregon,Penn State,-3.0,0.582
2024,15,regular,401673463,SMU,Clemson,-3.0,0.582
2024,15,regular,401673469,Texas,Georgia,-3.0,0.582
2024,16,regular,401645383,Army,Navy,-6.0,0.66
2024,16,regular,401729780,Montana State,Idaho,-14.5,0.841
2024,1,postseason,401677182,Arizona State,Texas,13.0,0.185
2024,1,postseason,401677092,Arkansas,Texas Tech,3.0,0.418
2024,1,postseason,401677100,Army,Louisiana Tech,-14.0,0.833
2024,1,postseason,401677181,Boise State,Penn State,12.5,0.194
2024,1,postseason,401677089,Bowling Green,Arkansas State,-10.0,0.755
2024,1,postseason,401677099,Colorado,BYU,-3.0,0.582
2024,1,postseason,401677188,Colorado State,Miami (OH),2.5,0.432
2024,1,postseason,401677084,Florida,Tulane,-10.0,0.755
2024,1,postseason,401677086,Fresno State,Northern Illinois,3.0,0.418
2024,1,postseason,401677184,Georgia,Notre Dame,1.0,0.473
2024,1,postseason,401677103,Illinois,South Carolina,9.5,0.256
2024,1,postseason,401677083,Jacksonville State,Ohio,6.5,0.327
2024,1,postseason,401677079,James Madison,Western Kentucky,-7.0,0.685
2024,1,postseason,401677088,Kansas State,Rutgers,-7.0,0.685
2024,1,postseason,401677108,Liberty,Buffalo,4.0,0.391
2024,1,postseason,401677104,LSU,Baylor,3.5,0.405
2024,1,postseason,401677097,Miami,Iowa State,-4.5,0.622
2024,1,postseason,401677102,Michigan,Alabama,16.5,0.128
2024,1,postseason,401677101,Missouri,Iowa,-2.5,0.568
2024,1,postseason,401680057,Montana State,North Dakota State,-4.0,0.609
2024,1,postseason,401677090,Navy,Oklahoma,2.5,0.432
2024,1,postseason,401677098,NC State,East Carolina,-7.0,0.685
2024,1,postseason,401677095,Nebraska,Boston College,-3.5,0.595
2024,1,postseason,401677094,North Carolina,UConn,-2.5,0.568
2024,1,postseason,401677192,Notre Dame,Ohio State,8.5,0.279
2024,1,postseason,401677179,Notre Dame,Indiana,-7.0,0.685
2024,1,postseason,401677177,Ohio State,Tennessee,-8.0,0.709
2024,1,postseason,401677105,Ole Miss,Duke,-17.0,0.879
2024,1,postseason,401677183,Oregon,Ohio State,2.5,0.432
2024,1,postseason,401677189,Penn State,Notre Dame,-1.0,0.527
2024,1,postseason,401677178,Penn State,SMU,-7.5,0.698
2024,1,postseason,401677082,Sam Houston,Georgia Southern,4.5,0.378
2024,1,postseason,401677087,San José State,South Florida,2.0,0.445
2024,1,postseason,401677096,TCU,Louisiana,-10.0,0.755
2024,1,postseason,401677176,Texas,Clemson,-13.5,0.824
2024,1,postseason,401677191,Texas,Ohio State,5.5,0.352
2024,1,postseason,401677106,Texas State,North Texas,-14.0,0.833
2024,1,postseason,401677180,Toledo,Pittsburgh,7.0,0.315
2024,1,postseason,401677081,UNLV,California,-3.0,0.582
2024,1,postseason,401677093,USC,Texas A&M,3.5,0.405
2024,1,postseason,401677085,UTSA,Coastal Carolina,-12.5,0.806
2024,1,postseason,401677091,Vanderbilt,Georgia Tech,3.0,0.418
2024,1,postseason,401677107,Virginia Tech,Minnesota,10.0,0.245
2024,1,postseason,401677190,Washington,Louisville,-1.0,0.527
2024,1,postseason,401729867,Washington State,Syracuse,19.0,0.095
2024,1,postseason,401677077,Western Michigan,South Alabama,9.0,0.267
2024,1,postseason,401677080,West Virginia,Memphis,5.0,0.365
