id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,opponent_talent,opponent_talent_tier,talent_difference,opponent_conference,opponent_classification,opponent_capacity,opponent_grass,opponent_dome,opponent_latitude,opponent_longitude,opponent_elevation,opponent_year_constructed,historical_tennessee_wins,historical_opponent_wins,historical_ties,historical_total_games,historical_tennessee_win_pct,is_sec_opponent,is_power5_opponent,is_fcs_opponent,venue_age,has_historical_rivalry,tennessee_won,tennessee_point_differential,is_home_game,talent_home_interaction,talent_week_interaction,historical_home_interaction,talent_squared,week_squared,attendance_squared,talent_ratio,historical_ratio,capacity_ratio,opponent_tier_encoded,is_early_season,is_mid_season,is_late_season,is_postseason,tennessee_points_rolling,opponent_points_rolling,distance_from_tennessee,is_cold_weather,is_warm_weather,is_modern_venue,is_old_venue,conference_strength
401403945,2022,11,regular,2022-11-12T17:00:00.000Z,False,True,False,True,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,66,"[7, 21, 21, 17]",0.9981246313376992,1957,2018,142,Missouri,fbs,SEC,24,"[7, 10, 7, 0]",0.0018753686623008,1485.0,1424.0,2.4410390784,,,740,Average,110,SEC,fbs,,,,,,,,8,12,0,20,0.4,True,True,False,22,True,True,42,True,740,8140,0.4,547600,121,10386667225.0,0.8695652173913043,0.38095238095238093,,3,False,False,True,False,22.0,816.6666666666666,,False,False,False,False,0.9
401403953,2022,12,regular,2022-11-20T00:00:00.000Z,False,True,False,True,79041.0,3994,Williams-Brice Stadium,2579,South Carolina,fbs,SEC,63,"[21, 14, 7, 21]",0.9938376861899691,1460,1599,2633,Tennessee,fbs,SEC,38,"[7, 17, 7, 7]",0.0061623138100307,2018.0,1879.0,6.903828433,,,720,Average,130,SEC,fbs,,,,,,,,25,20,0,45,0.5555555555555556,True,True,False,22,True,False,-25,False,0,8640,0.0,518400,144,6247479681.0,0.8460634547591069,0.5434782608695652,,3,False,False,True,False,1.0,806.6666666666666,,False,False,False,False,0.9
401403964,2022,13,regular,2022-11-27T00:30:00.000Z,False,True,False,True,40350.0,3973,FirstBank Stadium,238,Vanderbilt,fbs,SEC,0,"[0, 0, 0, 0]",0.0020101816382698,1332,1234,2633,Tennessee,fbs,SEC,56,"[14, 7, 21, 14]",0.9979898183617302,1879.0,1977.0,1.2045247161,,,650,Weak,200,SEC,fbs,,,,,,,,40,10,0,50,0.8,True,True,False,22,True,True,56,False,0,8450,0.0,422500,169,1628122500.0,0.763807285546416,0.7843137254901961,,2,False,False,True,False,24.333333333333332,703.3333333333334,,False,False,False,False,0.9
401520179,2023,1,regular,2023-09-02T16:00:00.000Z,False,True,True,False,69507.0,3810,Nissan Stadium,2633,Tennessee,fbs,SEC,49,"[7, 14, 14, 14]",0.9989216060109892,1833,1887,258,Virginia,fbs,ACC,13,"[0, 3, 7, 3]",0.0010783939890106,1393.0,1339.0,1.4530125893,,,620,Weak,240,ACC,fbs,,,,,,,,1,0,0,1,1.0,False,True,False,23,False,True,36,True,620,620,1.0,384400,1,4831223049.0,0.7285546415981199,0.5,,2,True,False,False,False,36.0,620.0,,False,False,False,False,0.75
401551780,2023,1,postseason,2024-01-01T18:00:00.000Z,False,True,True,False,43861.0,4013,Camping World Stadium,2633,Tennessee,fbs,SEC,35,"[0, 14, 7, 14]",0.9986558395437592,1786,1877,2294,Iowa,fbs,Big Ten,0,"[0, 0, 0, 0]",0.0013441604562408,1666.0,1575.0,3.8609151832,,Cheez-It Citrus Bowl,800,Strong,60,Big Ten,fbs,,,,,,,,1,1,0,2,0.5,False,True,False,23,False,True,35,True,800,800,0.5,640000,1,1923787321.0,0.9400705052878966,0.3333333333333333,,4,True,False,False,True,35.5,710.0,,False,False,False,False,0.85
401520213,2023,2,regular,2023-09-09T21:00:00.000Z,False,True,False,False,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,30,"[3, 10, 10, 7]",0.9885686861865588,1735,1735,2046,Austin Peay,fcs,UAC,13,"[3, 3, 0, 7]",0.0114313138134413,,,7.2248857394,,,350,FCS,510,UAC,fcs,,,,,,,,0,0,0,0,0.0,False,False,False,23,False,True,17,True,350,700,0.0,122500,4,10386667225.0,0.4112808460634548,0.0,,1,True,False,False,False,29.333333333333332,590.0,,False,False,False,False,0.25
401520224,2023,3,regular,2023-09-16T23:00:00.000Z,False,True,False,True,90751.0,3634,Ben Hill Griffin Stadium,57,Florida,fbs,SEC,29,"[6, 20, 0, 3]",0.9678796152955736,1546,1603,2633,Tennessee,fbs,SEC,16,"[7, 0, 3, 6]",0.0321203847044263,1887.0,1830.0,4.3957610335,,,820,Strong,40,SEC,fbs,,,,,,,,20,30,0,50,0.4,True,True,False,23,True,False,-13,False,0,2460,0.0,672400,9,8235744001.0,0.963572267920094,0.39215686274509803,,4,True,False,False,False,13.0,656.6666666666666,,False,False,False,False,0.9
401520269,2023,4,regular,2023-09-23T20:00:00.000Z,False,True,False,False,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,45,"[14, 17, 0, 14]",0.9973628114879284,1830,1883,2636,UTSA,fbs,American Athletic,14,"[0, 0, 14, 0]",0.0026371885120717,1575.0,1522.0,5.1459353513,,,680,Weak,180,American Athletic,fbs,,,,,,,,1,0,0,1,1.0,False,False,False,23,False,True,31,True,680,2720,1.0,462400,16,10386667225.0,0.799059929494712,0.5,,2,True,False,False,False,11.666666666666666,616.6666666666666,,False,False,False,False,0.6
401520291,2023,5,regular,2023-09-30T23:30:00.000Z,False,True,False,True,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,41,"[14, 10, 7, 10]",0.9969517838681828,1883,1901,2579,South Carolina,fbs,SEC,20,"[10, 0, 7, 3]",0.0030482161318171,1567.0,1549.0,7.3332591652,,,720,Average,140,SEC,fbs,,,,,,,,25,20,0,45,0.5555555555555556,True,True,False,23,True,True,21,True,720,3600,0.5555555555555556,518400,25,10386667225.0,0.8460634547591069,0.5434782608695652,,3,False,True,False,False,13.0,740.0,,False,False,False,False,0.9
401520326,2023,7,regular,2023-10-14T19:30:00.000Z,False,True,False,True,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,20,"[7, 0, 7, 6]",0.851883910963952,1901,1902,245,Texas A&M,fbs,SEC,13,"[7, 3, 3, 0]",0.148116089036048,1739.0,1738.0,8.8686047483,,,830,Strong,30,SEC,fbs,,,,,,,,2,3,0,5,0.4,True,True,False,23,False,True,7,True,830,5810,0.4,688900,49,10386667225.0,0.9753231492361927,0.3333333333333333,,4,False,True,False,False,19.666666666666668,743.3333333333334,,False,False,False,False,0.9
