game_id,season,week,home_team,away_team,home_points,away_points,completed,venue,tennessee_spread,tennessee_spread_price,tennessee_spread_book,tennessee_moneyline,ml_book,tennessee_won,tennessee_covered,total_over,is_home_game,is_conference_game,point_differential,total_game_points,tennessee_points,opponent_points,tennessee_point_differential,tennessee_scoring_efficiency,opponent_scoring_efficiency,is_high_scoring_game,is_blowout,is_close_game,is_early_season,is_late_season,is_mid_season,is_underdog,is_favorite,spread_magnitude,is_large_spread,rolling_points_scored,rolling_points_allowed,rolling_point_differential,rolling_wins,rolling_games,rolling_win_pct,rolling_covers,rolling_cover_pct
401403864,2022,1,Tennessee,Ball State,59,10,True,Neyland Stadium,6.5,-110,BetMGM,200,BetMGM,True,True,False,True,True,49,69,59,10,49,0.8428571428571429,0.14285714285714285,True,True,False,True,False,False,True,False,6.5,False,59.0,10.0,49.0,1.0,1.0,1.0,1.0,1.0
401442019,2022,1,Clemson,Tennessee,14,31,True,Hard Rock Stadium,6.5,-110,BetMGM,200,BetMGM,True,True,False,False,True,-17,45,31,14,17,0.6739130434782609,0.30434782608695654,False,False,False,True,False,False,True,False,6.5,False,45.0,12.0,33.0,2.0,2.0,1.0,2.0,1.0
401403877,2022,2,Pittsburgh,Tennessee,27,34,True,Acrisure Stadium,6.5,-110,BetMGM,200,BetMGM,True,True,False,False,True,-7,61,34,27,7,0.5483870967741935,0.43548387096774194,True,False,True,True,False,False,True,False,6.5,False,41.333333333333336,17.0,24.333333333333332,3.0,3.0,1.0,3.0,1.0
401403889,2022,3,Tennessee,Akron,63,6,True,Neyland Stadium,6.5,-110,BetMGM,200,BetMGM,True,True,False,True,True,57,69,63,6,57,0.9,0.08571428571428572,True,True,False,True,False,False,True,False,6.5,False,42.666666666666664,15.666666666666666,27.0,3.0,3.0,1.0,3.0,1.0
401403901,2022,4,Tennessee,Florida,38,33,True,Neyland Stadium,6.5,-110,BetMGM,200,BetMGM,True,False,False,True,True,5,71,38,33,5,0.5277777777777778,0.4583333333333333,True,False,True,True,False,False,True,False,6.5,False,45.0,22.0,23.0,3.0,3.0,1.0,2.0,0.6666666666666666
401403913,2022,6,LSU,Tennessee,13,40,True,Tiger Stadium (LA),6.5,-110,BetMGM,200,BetMGM,True,True,False,False,True,-27,53,40,13,27,0.7407407407407407,0.24074074074074073,False,True,False,False,False,True,True,False,6.5,False,47.0,17.333333333333332,29.666666666666668,3.0,3.0,1.0,2.0,0.6666666666666666
401403921,2022,7,Tennessee,Alabama,52,49,True,Neyland Stadium,6.5,-110,BetMGM,200,BetMGM,True,False,False,True,True,3,101,52,49,3,0.5098039215686274,0.4803921568627451,True,False,True,False,False,True,True,False,6.5,False,43.333333333333336,31.666666666666668,11.666666666666666,3.0,3.0,1.0,1.0,0.3333333333333333
401403926,2022,8,Tennessee,UT Martin,65,24,True,Neyland Stadium,6.5,-110,BetMGM,200,BetMGM,True,True,False,True,True,41,89,65,24,41,0.7222222222222222,0.26666666666666666,True,True,False,False,False,True,True,False,6.5,False,52.333333333333336,28.666666666666668,23.666666666666668,3.0,3.0,1.0,2.0,0.6666666666666666
401403930,2022,9,Tennessee,Kentucky,44,6,True,Neyland Stadium,6.5,-110,BetMGM,200,BetMGM,True,True,False,True,True,38,50,44,6,38,0.8627450980392157,0.11764705882352941,False,True,False,False,False,True,True,False,6.5,False,53.666666666666664,26.333333333333332,27.333333333333332,3.0,3.0,1.0,2.0,0.6666666666666666
401403933,2022,10,Georgia,Tennessee,27,13,True,Sanford Stadium,6.5,-110,BetMGM,200,BetMGM,False,False,False,False,True,14,40,13,27,-14,0.3170731707317073,0.6585365853658537,False,False,False,False,True,False,True,False,6.5,False,40.666666666666664,19.0,21.666666666666668,2.0,3.0,0.6666666666666666,2.0,0.6666666666666666
401403945,2022,11,Tennessee,Missouri,66,24,True,Neyland Stadium,6.5,-110,BetMGM,200,BetMGM,True,True,False,True,True,42,90,66,24,42,0.7252747252747253,0.26373626373626374,True,True,False,False,True,False,True,False,6.5,False,41.0,19.0,22.0,2.0,3.0,0.6666666666666666,2.0,0.6666666666666666
401403953,2022,12,South Carolina,Tennessee,63,38,True,Williams-Brice Stadium,6.5,-110,BetMGM,200,BetMGM,False,False,False,False,True,25,101,38,63,-25,0.37254901960784315,0.6176470588235294,True,True,False,False,True,False,True,False,6.5,False,39.0,38.0,1.0,1.0,3.0,0.3333333333333333,1.0,0.3333333333333333
